Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1890-1891,M,M,M,M,M,M,6,6,4,0,0,0,M
1891-1892,0,0,0,0,0,0,6,6,5,0,0,0,17
1892-1893,0,0,0,0,2,3,11,11,3,2,0,0,32
1893-1894,0,0,0,0,2,8,6,7,0,3,0,0,26
1894-1895,0,0,0,0,4,7,7,5,6,1,0,0,30
1895-1896,0,0,0,0,0,3,7,7,8,0,0,0,25
1896-1897,0,0,0,0,2,2,3,3,5,0,0,0,15
1897-1898,0,0,0,0,3,8,6,2,3,4,0,0,26
1898-1899,0,0,0,0,3,4,4,10,9,0,0,0,30
1899-1900,0,0,0,0,1,0,5,2,5,0,0,0,13
1900-1901,0,0,0,0,1,4,6,5,0,0,0,0,16
1901-1902,0,0,0,0,0,5,5,6,2,0,0,0,18
1902-1903,0,0,0,0,0,10,4,3,1,0,0,0,18
1903-1904,0,0,0,0,0,6,13,7,5,2,0,0,33
1904-1905,0,0,0,0,0,8,8,6,3,0,0,0,25
1905-1906,0,0,0,0,0,1,5,3,6,0,0,0,15
1906-1907,0,0,0,0,2,10,9,13,8,5,0,0,47
1907-1908,0,0,0,0,0,6,3,4,4,1,0,0,18
1908-1909,0,0,0,0,0,3,7,2,5,0,0,0,17
1909-1910,0,0,0,0,0,2,10,5,1,0,0,0,18
1910-1911,0,0,0,0,1,8,4,11,2,4,0,0,30
1911-1912,0,0,0,0,1,2,12,2,6,2,0,0,25
1912-1913,0,0,0,0,1,4,1,5,1,2,0,0,14
1913-1914,0,0,0,0,0,2,7,7,6,4,0,0,26
1914-1915,0,0,0,0,0,3,6,4,0,2,0,0,15
1915-1916,0,0,0,0,1,7,5,8,14,6,0,0,41
1916-1917,0,0,0,0,3,4,9,5,4,1,0,0,26
1917-1918,0,0,0,0,1,7,12,7,5,2,0,0,34
1918-1919,0,0,0,0,0,6,2,4,3,0,0,0,15
1919-1920,0,0,0,0,1,6,11,11,3,1,0,0,33
1920-1921,0,0,0,0,2,3,5,5,0,0,0,0,15
1921-1922,0,0,0,0,2,7,3,7,2,2,0,0,23
1922-1923,0,0,0,0,2,8,14,7,5,0,0,0,36
