,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1890-1891,6,6,4,0,0,0,0,0,0,0,0,0
1,1891-1892,6,6,5,0,0,0,0,0,0,0,2,3
2,1892-1893,11,11,3,2,0,0,0,0,0,0,2,8
3,1893-1894,6,7,0,3,0,0,0,0,0,0,4,7
4,1894-1895,7,5,6,1,0,0,0,0,0,0,0,3
5,1895-1896,7,7,8,0,0,0,0,0,0,0,2,2
6,1896-1897,3,3,5,0,0,0,0,0,0,0,3,8
7,1897-1898,6,2,3,4,0,0,0,0,0,0,3,4
8,1898-1899,4,10,9,0,0,0,0,0,0,0,1,0
9,1899-1900,5,2,5,0,0,0,0,0,0,0,1,4
10,1900-1901,6,5,0,0,0,0,0,0,0,0,0,5
11,1901-1902,5,6,2,0,0,0,0,0,0,0,0,10
12,1902-1903,4,3,1,0,0,0,0,0,0,0,0,6
13,1903-1904,13,7,5,2,0,0,0,0,0,0,0,8
14,1904-1905,8,6,3,0,0,0,0,0,0,0,0,1
15,1905-1906,5,3,6,0,0,0,0,0,0,0,2,10
16,1906-1907,9,13,8,5,0,0,0,0,0,0,0,6
17,1907-1908,3,4,4,1,0,0,0,0,0,0,0,3
18,1908-1909,7,2,5,0,0,0,0,0,0,0,0,2
19,1909-1910,10,5,1,0,0,0,0,0,0,0,1,8
20,1910-1911,4,11,2,4,0,0,0,0,0,0,1,2
21,1911-1912,12,2,6,2,0,0,0,0,0,0,1,4
22,1912-1913,1,5,1,2,0,0,0,0,0,0,0,2
23,1913-1914,7,7,6,4,0,0,0,0,0,0,0,3
24,1914-1915,6,4,0,2,0,0,0,0,0,0,1,7
25,1915-1916,5,8,14,6,0,0,0,0,0,0,3,4
26,1916-1917,9,5,4,1,0,0,0,0,0,0,1,7
27,1917-1918,12,7,5,2,0,0,0,0,0,0,0,6
28,1918-1919,2,4,3,0,0,0,0,0,0,0,1,6
29,1919-1920,11,11,3,1,0,0,0,0,0,0,2,3
30,1920-1921,5,5,0,0,0,0,0,0,0,0,2,7
31,1921-1922,3,7,2,2,0,0,0,0,0,0,2,8
32,1922-1923,14,7,5,0,0,0,0,0,0,0,0,3
33,1923-1924,4,6,3,1,0,0,0,0,0,0,1,1
34,1924-1925,10,0,0,0,0,0,0,0,0,0,0,1
