Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1904-1905,M,M,M,M,M,M,6,5,2,1,0,0,M
1905-1906,0,0,0,0,0,1,5,3,6,1,0,0,16
1906-1907,0,0,0,0,1,12,9,9,7,4,0,0,42
1907-1908,0,0,0,0,2,5,4,8,5,0,0,0,24
1908-1909,0,0,0,0,3,4,7,2,7,2,0,0,25
1909-1910,0,0,0,0,2,4,11,5,2,1,0,0,25
1910-1911,0,0,0,0,2,6,2,10,4,3,0,0,27
1911-1912,0,0,0,0,1,2,10,1,7,0,0,0,21
1912-1913,0,0,0,0,1,1,2,5,2,0,0,0,11
1913-1914,0,0,0,0,2,1,5,6,6,0,0,0,20
1914-1915,0,0,0,0,2,4,6,5,1,2,0,0,20
1915-1916,0,0,0,0,0,5,3,9,14,2,0,0,33
1916-1917,0,0,0,0,2,3,11,4,6,2,0,0,28
1917-1918,0,0,0,0,1,3,7,8,6,2,0,0,27
1918-1919,0,0,0,0,0,4,2,4,2,0,0,0,12
1919-1920,0,0,0,0,0,6,11,10,3,1,0,0,31
1920-1921,0,0,0,0,0,1,4,8,0,0,0,0,13
1921-1922,0,0,0,0,0,4,6,6,3,2,0,0,21
1922-1923,0,0,0,0,1,7,15,9,6,1,0,0,39
1923-1924,0,0,0,0,0,5,3,4,4,2,0,0,18
1924-1925,0,0,0,0,1,3,10,1,2,0,0,0,17
1925-1926,0,0,0,1,0,5,5,9,6,1,0,0,27
1926-1927,0,0,0,0,0,9,6,7,2,0,0,0,24
1927-1928,0,0,0,0,0,0,2,4,2,0,0,0,8
1928-1929,0,0,0,0,0,1,8,6,4,3,0,0,22
1929-1930,0,0,0,0,2,5,7,7,0,0,0,0,21
1930-1931,0,0,0,0,0,3,5,8,3,0,0,0,19
1931-1932,0,0,0,0,1,1,5,6,3,1,0,0,17
1932-1933,0,0,0,0,0,7,3,6,3,1,0,0,20
1933-1934,0,0,0,0,4,7,3,9,4,0,0,0,27
1934-1935,0,0,0,0,0,1,9,5,3,2,0,0,20
1935-1936,0,0,0,0,2,4,8,5,2,0,0,0,21
1936-1937,0,0,0,0,2,1,4,2,3,2,0,0,14
1937-1938,0,0,0,0,2,2,9,4,1,2,0,0,20
1938-1939,0,0,0,0,2,6,8,6,5,1,0,0,28
1939-1940,0,0,0,0,0,5,7,9,6,2,0,0,29
1940-1941,0,0,0,0,3,2,7,2,7,0,0,0,21
1941-1942,0,0,0,0,0,2,5,4,2,2,0,0,15
1942-1943,0,0,0,0,0,4,10,5,3,1,0,0,23
1943-1944,0,0,0,0,2,2,3,4,6,0,0,0,17
1944-1945,0,0,0,0,3,4,9,11,3,0,0,0,30
1945-1946,0,0,0,0,2,5,4,6,0,1,0,0,18
1946-1947,0,0,0,0,1,2,4,6,3,2,0,0,18
1947-1948,0,0,0,0,1,6,13,8,3,0,0,0,31
1948-1949,0,0,0,0,1,6,8,4,4,0,0,0,23
1949-1950,0,0,0,0,2,5,4,9,6,3,0,0,29
1950-1951,0,0,0,0,0,4,7,4,4,0,0,0,19
1951-1952,0,0,0,0,1,4,7,8,7,0,0,0,27
1952-1953,0,0,0,0,1,4,8,3,0,0,0,0,16
1953-1954,0,0,0,0,2,1,12,5,0,1,0,0,21
1954-1955,0,0,0,0,0,1,3,7,8,2,0,0,21
1955-1956,0,0,0,0,1,4,5,10,10,2,0,0,32
1956-1957,0,0,0,0,3,6,11,3,3,5,0,0,31
1957-1958,0,0,0,0,0,3,9,5,6,2,0,0,25
1958-1959,0,0,0,0,3,5,7,5,8,0,0,0,28
1959-1960,0,0,0,0,1,6,7,5,8,0,0,0,27
1960-1961,0,0,0,0,0,5,8,3,6,2,0,0,24
1961-1962,0,0,0,M,1,5,2,13,1,0,0,0,M
1962-1963,0,M,0,0,2,11,5,9,6,0,0,0,M
1963-1964,0,0,0,0,0,10,4,10,4,0,0,0,28
1964-1965,0,0,0,0,0,7,10,5,10,1,0,0,33
1965-1966,0,0,0,0,0,4,11,10,2,0,0,0,27
1966-1967,0,0,0,0,0,8,6,12,7,2,0,0,35
1967-1968,0,0,0,0,3,5,7,4,4,0,0,0,23
1968-1969,0,0,0,0,6,6,5,10,3,0,0,0,30
1969-1970,0,0,0,0,0,13,6,8,6,1,0,0,34
1970-1971,0,0,0,0,0,14,8,5,6,4,0,0,37
1971-1972,0,0,0,0,3,6,5,9,4,4,0,0,31
1972-1973,0,0,0,1,3,9,3,7,1,2,0,0,26
1973-1974,0,0,0,0,0,3,6,8,7,2,0,0,26
1974-1975,0,0,0,0,2,5,6,9,5,1,0,0,28
1975-1976,0,0,0,0,1,6,9,4,9,0,0,0,29
1976-1977,0,0,0,0,1,8,12,5,5,2,1,0,34
1977-1978,0,0,0,0,4,7,13,4,3,0,0,0,31
1978-1979,0,0,0,0,3,4,7,7,0,2,0,0,23
1979-1980,0,0,0,1,0,2,1,4,4,0,0,0,12
1980-1981,0,0,0,0,2,6,5,2,1,0,0,0,16
1981-1982,0,0,0,0,0,11,9,4,5,2,0,0,31
1982-1983,0,0,0,0,0,7,4,3,1,2,0,0,17
1983-1984,0,0,0,0,0,6,11,3,10,0,0,0,30
1984-1985,0,0,0,0,1,4,9,5,4,1,0,0,24
1985-1986,0,0,0,0,3,6,3,8,1,1,0,0,22
1986-1987,0,0,0,0,2,5,9,2,3,1,0,0,22
1987-1988,0,0,0,0,3,5,5,4,4,0,0,0,21
1988-1989,0,0,0,0,0,4,1,6,5,0,0,0,16
1989-1990,0,0,0,0,2,6,7,5,2,1,0,0,23
1990-1991,0,0,0,0,0,1,4,6,3,0,0,0,14
1991-1992,0,0,0,0,2,6,2,8,4,1,0,0,23
1992-1993,0,0,0,0,0,7,7,5,9,0,0,0,28
1993-1994,0,0,0,0,0,6,13,11,11,0,0,0,41
1994-1995,0,0,0,0,2,2,6,3,0,1,0,0,14
1995-1996,0,0,0,0,4,8,11,7,6,M,M,M,M
1996-1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1997-1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1998-1999,M,M,M,M,M,M,M,M,M,M,M,M,M
1999-2000,M,M,M,M,M,M,M,M,7,M,M,M,M
2000-2001,M,M,M,M,M,3,7,7,7,0,M,M,M
2001-2002,M,M,M,M,M,3,M,M,M,M,M,M,M
2002-2003,M,M,M,M,M,5,9,4,3,2,0,0,M
2003-2004,0,0,0,0,0,5,7,2,6,0,0,0,20
2004-2005,0,0,0,0,2,5,11,9,6,0,0,0,33
2005-2006,0,0,0,0,1,3,4,2,1,1,0,0,12
2006-2007,0,0,0,0,0,0,3,6,3,0,0,0,12
2007-2008,0,0,0,0,1,5,4,5,1,0,0,0,16
2008-2009,0,0,0,0,0,8,7,2,2,0,0,0,19
2009-2010,0,0,0,0,0,5,4,8,0,0,0,0,17
2010-2011,0,0,0,0,0,3,9,7,1,1,0,0,21
2011-2012,0,0,0,1,0,0,3,2,3,0,0,0,9
2012-2013,0,0,0,0,3,6,5,10,5,0,0,0,29
