,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1904-1905,6,5,2,1,0,0,0,0,0,0,0,1
1,1905-1906,5,3,6,1,0,0,0,0,0,0,1,12
2,1906-1907,9,9,7,4,0,0,0,0,0,0,2,5
3,1907-1908,4,8,5,0,0,0,0,0,0,0,3,4
4,1908-1909,7,2,7,2,0,0,0,0,0,0,2,4
5,1909-1910,11,5,2,1,0,0,0,0,0,0,2,6
6,1910-1911,2,10,4,3,0,0,0,0,0,0,1,2
7,1911-1912,10,1,7,0,0,0,0,0,0,0,1,1
8,1912-1913,2,5,2,0,0,0,0,0,0,0,2,1
9,1913-1914,5,6,6,0,0,0,0,0,0,0,2,4
10,1914-1915,6,5,1,2,0,0,0,0,0,0,0,5
11,1915-1916,3,9,14,2,0,0,0,0,0,0,2,3
12,1916-1917,11,4,6,2,0,0,0,0,0,0,1,3
13,1917-1918,7,8,6,2,0,0,0,0,0,0,0,4
14,1918-1919,2,4,2,0,0,0,0,0,0,0,0,6
15,1919-1920,11,10,3,1,0,0,0,0,0,0,0,1
16,1920-1921,4,8,0,0,0,0,0,0,0,0,0,4
17,1921-1922,6,6,3,2,0,0,0,0,0,0,1,7
18,1922-1923,15,9,6,1,0,0,0,0,0,0,0,5
19,1923-1924,3,4,4,2,0,0,0,0,0,0,1,3
20,1924-1925,10,1,2,0,0,0,0,0,0,1,0,5
21,1925-1926,5,9,6,1,0,0,0,0,0,0,0,9
22,1926-1927,6,7,2,0,0,0,0,0,0,0,0,0
23,1927-1928,2,4,2,0,0,0,0,0,0,0,0,1
24,1928-1929,8,6,4,3,0,0,0,0,0,0,2,5
25,1929-1930,7,7,0,0,0,0,0,0,0,0,0,3
26,1930-1931,5,8,3,0,0,0,0,0,0,0,1,1
27,1931-1932,5,6,3,1,0,0,0,0,0,0,0,7
28,1932-1933,3,6,3,1,0,0,0,0,0,0,4,7
29,1933-1934,3,9,4,0,0,0,0,0,0,0,0,1
30,1934-1935,9,5,3,2,0,0,0,0,0,0,2,4
31,1935-1936,8,5,2,0,0,0,0,0,0,0,2,1
32,1936-1937,4,2,3,2,0,0,0,0,0,0,2,2
33,1937-1938,9,4,1,2,0,0,0,0,0,0,2,6
34,1938-1939,8,6,5,1,0,0,0,0,0,0,0,5
35,1939-1940,7,9,6,2,0,0,0,0,0,0,3,2
36,1940-1941,7,2,7,0,0,0,0,0,0,0,0,2
37,1941-1942,5,4,2,2,0,0,0,0,0,0,0,4
38,1942-1943,10,5,3,1,0,0,0,0,0,0,2,2
