Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1892-1893,M,M,M,M,M,M,M,M,M,2,M,M,M
1893-1894,M,M,M,M,M,7,4,5,M,2,M,M,M
1894-1895,M,M,M,M,4,M,6,3,6,1,M,M,M
1895-1896,M,0,M,0,1,M,4,9,8,1,M,M,M
1896-1897,M,M,M,M,3,2,3,2,M,1,M,M,M
1897-1898,M,M,M,M,3,3,6,3,4,3,M,M,M
1898-1899,M,M,M,M,3,3,3,10,10,1,M,M,M
1899-1900,M,M,M,M,2,0,4,2,5,M,0,M,M
1900-1901,M,M,M,M,0,5,6,4,4,M,M,M,M
1901-1902,M,M,M,M,4,6,9,9,2,M,M,M,M
1902-1903,M,M,M,0,0,9,4,3,1,0,M,M,M
1903-1904,M,M,M,M,5,6,12,9,6,3,M,M,M
1904-1905,M,M,M,0,2,M,9,6,3,0,0,M,M
1905-1906,M,M,M,M,0,2,8,4,6,2,M,M,M
1906-1907,M,M,M,0,6,12,11,13,11,8,M,M,M
1907-1908,M,M,M,M,M,6,6,9,5,3,0,M,M
1908-1909,M,M,M,M,0,6,11,5,9,2,M,M,M
1909-1910,M,M,M,M,2,7,12,7,2,0,0,M,M
1910-1911,M,M,M,M,1,11,4,15,7,5,M,M,M
1911-1912,M,M,M,M,3,2,16,4,8,3,M,M,M
1912-1913,M,M,M,M,1,5,4,6,3,2,M,M,M
1913-1914,M,M,M,1,1,3,12,8,10,5,M,M,M
1914-1915,M,M,M,0,0,9,10,5,4,2,M,M,M
1915-1916,M,M,M,M,1,9,5,11,17,7,M,M,M
1916-1917,M,M,M,M,3,6,13,7,8,3,1,M,M
1917-1918,M,M,M,M,1,12,12,10,7,2,M,M,M
1918-1919,M,M,M,M,1,8,5,6,5,0,M,M,M
1919-1920,M,M,M,M,5,6,13,13,4,1,1,M,M
1920-1921,M,M,M,M,6,7,9,9,0,3,M,M,M
1921-1922,M,M,M,M,5,9,8,9,5,2,M,M,M
1922-1923,M,M,M,M,2,12,16,8,7,4,M,M,M
1923-1924,M,M,M,M,2,4,4,7,5,2,M,M,M
1924-1925,M,M,M,M,3,4,12,2,2,2,M,M,M
1925-1926,M,M,M,M,1,4,5,11,8,2,M,M,M
1926-1927,M,M,M,0,0,11,9,M,2,1,M,M,M
1927-1928,M,M,M,M,1,2,7,7,6,1,M,M,M
1928-1929,M,M,M,M,4,2,8,8,7,4,0,M,M
1929-1930,M,M,M,M,1,8,8,9,1,0,0,M,M
1930-1931,M,0,M,1,1,8,6,8,M,2,0,M,M
1931-1932,0,M,0,M,1,3,8,9,M,1,0,M,M
1932-1933,0,M,0,0,0,7,5,6,11,2,0,0,M
1933-1934,0,0,0,0,5,8,5,9,9,0,M,0,M
1934-1935,0,0,0,1,0,3,8,M,2,3,0,M,M
1935-1936,M,0,M,0,3,2,M,4,M,0,0,M,M
1936-1937,M,M,M,0,2,0,3,2,6,0,M,M,M
1937-1938,M,M,M,M,3,5,M,7,3,1,M,M,M
1938-1939,M,M,M,M,4,8,10,9,8,1,M,M,M
1939-1940,M,M,M,M,2,4,9,12,4,3,M,M,M
1940-1941,M,M,M,0,2,2,7,3,M,0,0,M,M
1941-1942,M,M,M,M,0,1,5,4,4,2,M,0,M
1942-1943,M,M,M,M,0,4,8,4,4,2,M,M,M
1943-1944,M,M,M,0,2,1,4,5,6,0,M,M,M
1944-1945,M,M,M,0,3,M,11,5,4,0,0,0,M
1945-1946,M,0,M,M,3,8,7,5,2,1,0,M,M
1946-1947,M,M,0,0,0,5,7,4,3,3,0,M,M
1947-1948,0,0,0,M,2,9,14,13,6,0,0,0,M
1948-1949,M,M,M,0,1,4,10,9,5,0,0,0,M
1949-1950,0,0,0,0,2,4,6,6,7,1,0,0,26
1950-1951,0,0,0,0,1,5,7,7,7,0,0,0,27
1951-1952,0,0,0,0,2,8,8,8,9,0,0,0,35
1952-1953,0,0,0,0,1,5,9,7,1,1,0,0,24
1953-1954,0,0,0,0,0,0,13,4,M,1,0,0,M
1954-1955,0,0,0,0,1,6,4,6,9,1,0,0,27
