,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1892-1893,M,M,M,2,M,M,M,M,M,M,M,7
1,1893-1894,4,5,M,2,M,M,M,M,M,M,4,M
2,1894-1895,6,3,6,1,M,M,M,0,M,0,1,M
3,1895-1896,4,9,8,1,M,M,M,M,M,M,3,2
4,1896-1897,3,2,M,1,M,M,M,M,M,M,3,3
5,1897-1898,6,3,4,3,M,M,M,M,M,M,3,3
6,1898-1899,3,10,10,1,M,M,M,M,M,M,2,0
7,1899-1900,4,2,5,M,0,M,M,M,M,M,0,5
8,1900-1901,6,4,4,M,M,M,M,M,M,M,4,6
9,1901-1902,9,9,2,M,M,M,M,M,M,0,0,9
10,1902-1903,4,3,1,0,M,M,M,M,M,M,5,6
11,1903-1904,12,9,6,3,M,M,M,M,M,0,2,M
12,1904-1905,9,6,3,0,0,M,M,M,M,M,0,2
13,1905-1906,8,4,6,2,M,M,M,M,M,0,6,12
14,1906-1907,11,13,11,8,M,M,M,M,M,M,M,6
15,1907-1908,6,9,5,3,0,M,M,M,M,M,0,6
16,1908-1909,11,5,9,2,M,M,M,M,M,M,2,7
17,1909-1910,12,7,2,0,0,M,M,M,M,M,1,11
18,1910-1911,4,15,7,5,M,M,M,M,M,M,3,2
19,1911-1912,16,4,8,3,M,M,M,M,M,M,1,5
20,1912-1913,4,6,3,2,M,M,M,M,M,1,1,3
21,1913-1914,12,8,10,5,M,M,M,M,M,0,0,9
22,1914-1915,10,5,4,2,M,M,M,M,M,M,1,9
23,1915-1916,5,11,17,7,M,M,M,M,M,M,3,6
24,1916-1917,13,7,8,3,1,M,M,M,M,M,1,12
25,1917-1918,12,10,7,2,M,M,M,M,M,M,1,8
26,1918-1919,5,6,5,0,M,M,M,M,M,M,5,6
27,1919-1920,13,13,4,1,1,M,M,M,M,M,6,7
28,1920-1921,9,9,0,3,M,M,M,M,M,M,5,9
29,1921-1922,8,9,5,2,M,M,M,M,M,M,2,12
30,1922-1923,16,8,7,4,M,M,M,M,M,M,2,4
31,1923-1924,4,7,5,2,M,M,M,M,M,M,3,4
32,1924-1925,12,2,2,2,M,M,M,M,M,M,1,4
33,1925-1926,5,11,8,2,M,M,M,M,M,0,0,11
34,1926-1927,9,M,2,1,M,M,M,M,M,M,1,2
35,1927-1928,7,7,6,1,M,M,M,M,M,M,4,2
36,1928-1929,8,8,7,4,0,M,M,M,M,M,1,8
37,1929-1930,8,9,1,0,0,M,M,0,M,1,1,8
38,1930-1931,6,8,M,2,0,M,0,M,0,M,1,3
39,1931-1932,8,9,M,1,0,M,0,M,0,0,0,7
40,1932-1933,5,6,11,2,0,0,0,0,0,0,5,8
41,1933-1934,5,9,9,0,M,0,0,0,0,1,0,3
42,1934-1935,8,M,2,3,0,M,M,0,M,0,3,2
43,1935-1936,M,4,M,0,0,M,M,M,M,0,2,0
44,1936-1937,3,2,6,0,M,M,M,M,M,M,3,5
45,1937-1938,M,7,3,1,M,M,M,M,M,M,4,8
46,1938-1939,10,9,8,1,M,M,M,M,M,M,2,4
47,1939-1940,9,12,4,3,M,M,M,M,M,0,2,2
48,1940-1941,7,3,M,0,0,M,M,M,M,M,0,1
49,1941-1942,5,4,4,2,M,0,M,M,M,M,0,4
50,1942-1943,8,4,4,2,M,M,M,M,M,0,2,1
51,1943-1944,4,5,6,0,M,M,M,M,M,0,3,M
52,1944-1945,11,5,4,0,0,0,M,0,M,M,3,8
53,1945-1946,7,5,2,1,0,M,M,M,0,0,0,5
54,1946-1947,7,4,3,3,0,M,0,0,0,M,2,9
55,1947-1948,14,13,6,0,0,0,M,M,M,0,1,4
56,1948-1949,10,9,5,0,0,0,0,0,0,0,2,4
57,1949-1950,6,6,7,1,0,0,0,0,0,0,1,5
58,1950-1951,7,7,7,0,0,0,0,0,0,0,2,8
59,1951-1952,8,8,9,0,0,0,0,0,0,0,1,5
60,1952-1953,9,7,1,1,0,0,0,0,0,0,0,0
61,1953-1954,13,4,M,1,0,0,0,0,0,0,1,6
62,1954-1955,4,6,9,1,0,0,0,0,0,0,2,5
63,1955-1956,4,9,13,3,0,0,0,0,0,0,1,9
64,1956-1957,11,5,5,4,0,0,0,0,0,M,1,1
65,1957-1958,7,8,10,2,0,0,0,0,0,0,0,4
66,1958-1959,5,5,9,0,0,0,0,0,0,0,2,6
67,1959-1960,9,8,9,0,0,0,0,0,0,2,0,5
68,1960-1961,3,M,6,5,0,0,0,0,0,0,2,4
69,1961-1962,2,11,4,2,0,0,0,0,0,1,3,5
70,1962-1963,5,7,8,0,0,0,0,0,0,1,0,12
71,1963-1964,3,9,7,0,0,0,0,0,0,0,0,6
72,1964-1965,12,6,8,1,0,0,0,0,0,0,0,6
73,1965-1966,13,8,2,0,0,0,0,0,0,0,0,7
74,1966-1967,4,13,6,5,0,0,0,0,0,0,3,5
75,1967-1968,9,3,4,0,0,0,0,0,0,0,2,6
76,1968-1969,3,15,4,0,0,0,0,0,0,0,0,9
77,1969-1970,8,3,5,1,0,0,0,0,0,0,0,11
78,1970-1971,8,5,4,2,0,0,0,0,0,0,2,8
79,1971-1972,3,10,6,4,0,0,0,0,0,1,2,7
80,1972-1973,4,5,1,0,0,0,0,0,0,0,0,1
81,1973-1974,5,8,2,1,0,0,0,0,0,0,3,4
82,1974-1975,5,6,5,5,0,0,0,0,0,0,1,8
83,1975-1976,8,3,9,0,0,0,0,0,0,0,1,6
84,1976-1977,10,6,4,0,2,0,0,0,0,0,1,6
85,1977-1978,9,3,5,1,0,0,0,0,0,0,4,4
86,1978-1979,9,7,1,2,0,0,0,0,0,1,0,4
87,1979-1980,1,6,5,0,0,0,0,0,0,0,2,7
88,1980-1981,8,2,4,0,0,0,0,0,0,0,0,12
89,1981-1982,9,5,6,2,0,0,0,0,0,0,0,10
90,1982-1983,4,6,1,0,0,0,0,0,0,0,0,6
91,1983-1984,13,3,7,0,0,0,0,0,0,0,1,3
92,1984-1985,8,6,5,1,0,0,0,0,0,0,4,7
93,1985-1986,5,10,3,0,0,0,0,0,0,0,2,5
94,1986-1987,12,3,10,4,0,0,0,0,0,0,3,6
95,1987-1988,5,4,4,0,0,0,0,0,0,0,0,4
96,1988-1989,3,7,6,1,0,0,0,0,0,0,2,5
97,1989-1990,11,7,2,1,1,0,0,0,0,0,2,1
98,1990-1991,8,M,6,0,0,0,0,0,0,0,1,7
99,1991-1992,6,10,5,1,0,0,0,0,0,0,2,4
100,1992-1993,9,11,13,2,0,0,0,0,0,0,1,6
101,1993-1994,13,10,8,0,0,0,0,0,0,0,2,5
102,1994-1995,5,5,2,0,0,0,0,0,0,0,3,11
103,1995-1996,12,6,6,4,0,0,0,0,0,0,3,2
104,1996-1997,7,9,9,2,0,0,0,0,0,0,5,6
105,1997-1998,8,3,4,1,0,0,0,0,M,0,0,2
106,1998-1999,9,6,6,0,0,0,0,0,0,0,0,0
107,1999-2000,7,6,2,2,0,0,0,0,0,2,0,9
108,2000-2001,9,6,11,2,0,0,0,0,0,0,0,4
109,2001-2002,6,4,3,2,0,0,0,0,0,2,3,7
110,2002-2003,13,9,4,7,0,0,0,0,0,1,0,6
111,2003-2004,10,5,7,1,0,0,0,0,0,0,2,8
112,2004-2005,11,10,7,1,0,0,0,0,0,1,3,5
113,2005-2006,12,4,1,1,0,0,0,0,0,0,0,4
114,2006-2007,4,6,4,1,0,0,0,0,0,0,2,9
115,2007-2008,7,11,8,0,0,0,0,0,0,0,0,6
116,2008-2009,10,4,4,1,0,0,0,0,0,1,0,9
117,2009-2010,7,7,6,0,0,0,0,0,0,0,1,7
118,2010-2011,14,8,3,1,0,0,0,0,0,2,0,0
119,2011-2012,10,3,3,0,0,0,0,0,0,0,2,7
120,2012-2013,5,9,8,0,0,0,0,0,0,0,1,6
121,2013-2014,9,11,7,1,M,0,0,0,0,0,5,4
122,2014-2015,12,17,8,0,0,0,0,0,0,0,0,2
123,2015-2016,4,5,3,3,0,0,0,0,0,0,0,5
