,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1903-1904,M,M,M,M,M,M,M,M,M,M,2,13
1,1904-1905,7,4,2,0,0,0,0,0,0,0,0,1
2,1905-1906,5,3,7,2,0,0,0,0,0,0,2,7
3,1906-1907,9,11,9,4,0,0,0,0,0,0,0,6
4,1907-1908,3,5,4,0,0,0,0,0,0,0,0,4
5,1908-1909,5,3,3,1,0,0,0,0,0,0,0,3
6,1909-1910,9,3,1,0,0,0,0,0,0,0,1,10
7,1910-1911,2,10,3,3,0,0,0,0,0,0,0,2
8,1911-1912,13,2,7,0,0,0,0,0,0,0,1,1
9,1912-1913,1,6,2,0,0,0,0,0,0,0,1,1
10,1913-1914,5,7,4,0,0,0,0,0,0,0,0,6
11,1914-1915,5,3,1,2,0,0,0,0,0,0,1,5
12,1915-1916,2,11,15,3,0,0,0,0,0,0,1,2
13,1916-1917,8,3,4,1,0,0,0,0,0,0,1,5
14,1917-1918,7,7,5,2,0,0,0,0,0,0,0,4
15,1918-1919,2,2,3,0,0,0,0,0,0,0,0,3
16,1919-1920,14,8,3,0,0,0,0,0,0,0,1,2
17,1920-1921,5,5,0,0,0,0,0,0,0,0,1,3
18,1921-1922,5,6,4,1,0,0,0,0,0,0,1,8
19,1922-1923,13,7,6,0,0,0,0,0,0,0,0,3
20,1923-1924,4,6,4,1,0,0,0,0,0,0,0,2
21,1924-1925,9,2,1,0,0,0,0,0,0,0,0,3
22,1925-1926,5,4,6,1,0,0,0,0,0,0,0,9
23,1926-1927,7,5,1,0,0,0,0,0,0,0,0,0
24,1927-1928,4,3,2,0,0,0,0,0,0,0,0,1
25,1928-1929,6,7,3,1,0,0,0,0,0,0,1,7
26,1929-1930,8,8,0,0,0,0,0,0,0,0,1,3
27,1930-1931,5,5,6,0,0,0,0,0,0,0,1,1
28,1931-1932,5,3,2,0,0,0,0,0,0,0,0,6
29,1932-1933,1,6,6,1,0,0,0,0,0,0,3,8
30,1933-1934,1,9,7,0,0,0,0,0,0,0,0,3
31,1934-1935,9,6,2,2,0,0,0,0,0,0,2,2
32,1935-1936,7,6,3,0,0,0,0,0,0,0,2,0
33,1936-1937,3,1,4,0,0,0,0,0,0,0,0,5
34,1937-1938,6,5,1,2,0,0,0,0,0,0,3,4
35,1938-1939,6,5,3,0,0,0,0,0,0,0,0,2
36,1939-1940,5,7,3,1,0,0,0,0,0,0,2,2
37,1940-1941,7,2,4,0,0,0,0,0,0,0,0,0
38,1941-1942,5,3,3,1,0,0,0,0,0,0,0,3
39,1942-1943,10,3,5,3,0,0,0,0,0,0,0,0
40,1943-1944,2,3,3,0,0,0,0,0,0,0,2,5
41,1944-1945,9,8,2,0,0,0,0,0,0,0,3,5
42,1945-1946,3,5,1,1,0,0,0,0,0,0,0,2
43,1946-1947,4,3,2,1,0,0,0,0,0,0,1,8
44,1947-1948,11,7,2,0,0,0,0,0,0,0,0,4
45,1948-1949,5,5,4,0,0,0,0,0,0,0,1,3
46,1949-1950,3,6,5,2,0,0,0,0,0,0,0,4
47,1950-1951,3,3,3,0,0,0,0,0,0,0,0,5
48,1951-1952,7,7,4,0,0,0,0,0,0,0,0,3
49,1952-1953,7,3,0,2,1,0,0,0,0,0,0,1
50,1953-1954,11,1,0,1,0,0,0,0,0,0,0,3
51,1954-1955,3,5,5,0,0,0,0,0,0,0,2,4
52,1955-1956,4,6,10,2,0,0,0,0,0,0,0,6
53,1956-1957,8,3,3,2,0,0,0,0,0,0,1,1
54,1957-1958,6,5,6,1,0,0,0,0,0,0,0,7
55,1958-1959,5,4,6,0,0,0,0,0,0,0,0,5
56,1959-1960,7,4,10,0,0,0,0,0,0,0,0,6
57,1960-1961,7,2,7,1,0,0,0,0,0,0,1,5
58,1961-1962,2,12,0,1,0,0,0,0,0,1,1,7
59,1962-1963,6,6,4,0,0,0,0,0,0,0,0,9
60,1963-1964,5,6,2,0,0,0,0,0,0,0,0,6
61,1964-1965,9,5,7,0,0,0,0,0,0,0,0,4
62,1965-1966,9,6,2,0,0,0,0,0,0,0,0,4
63,1966-1967,3,15,7,1,0,0,0,0,0,0,1,4
64,1967-1968,10,4,3,0,0,0,0,0,0,0,1,3
65,1968-1969,1,8,4,0,0,0,0,0,0,0,0,11
66,1969-1970,7,6,4,1,0,0,0,0,0,0,0,11
67,1970-1971,8,4,4,2,0,0,0,0,0,0,0,5
68,1971-1972,2,10,5,3,0,0,0,0,0,1,1,6
69,1972-1973,1,5,1,1,0,0,0,0,0,0,0,0
70,1973-1974,4,10,1,1,0,0,0,0,0,0,1,2
71,1974-1975,3,6,4,1,0,0,0,0,0,0,1,5
72,1975-1976,6,4,6,0,0,0,0,0,0,0,0,6
73,1976-1977,7,6,3,0,2,0,0,0,0,0,1,4
74,1977-1978,10,2,4,0,0,0,0,0,0,0,3,3
75,1978-1979,4,5,0,2,0,0,0,0,0,0,0,0
76,1979-1980,1,4,4,0,0,0,0,0,0,0,2,7
77,1980-1981,9,1,2,0,0,0,0,0,0,0,0,9
78,1981-1982,7,3,4,2,0,0,0,0,0,0,0,3
79,1982-1983,2,4,0,0,0,0,0,0,0,0,0,3
80,1983-1984,8,0,5,0,0,0,0,0,0,0,0,1
81,1984-1985,8,4,2,0,0,0,0,0,0,0,1,7
82,1985-1986,2,9,2,0,0,0,0,0,0,0,2,5
83,1986-1987,8,4,3,2,0,0,0,0,0,0,2,4
84,1987-1988,6,4,4,0,0,0,0,0,0,0,0,2
85,1988-1989,1,6,4,2,0,0,0,0,0,0,1,7
86,1989-1990,6,4,2,1,0,0,0,0,0,0,0,1
87,1990-1991,5,6,2,0,0,0,0,0,0,0,0,2
88,1991-1992,2,6,5,1,0,0,0,0,0,0,0,2
89,1992-1993,7,9,11,1,0,0,0,0,0,0,0,4
90,1993-1994,12,10,9,0,0,0,0,0,0,0,2,1
91,1994-1995,4,4,0,1,0,0,0,0,0,0,2,M
92,1995-1996,M,M,M,M,M,M,M,M,M,M,M,M
93,1996-1997,M,M,M,M,M,M,M,M,M,M,1,M
94,1997-1998,3,1,1,0,M,M,M,M,M,M,M,M
95,1998-1999,8,4,6,0,M,M,M,M,M,M,M,M
96,1999-2000,3,5,1,M,M,M,M,M,M,M,M,M
97,2000-2001,8,7,8,0,0,0,0,0,0,0,0,2
