Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1891-1892,M,M,M,M,M,M,M,M,M,M,0,M,M
1892-1893,M,M,M,M,M,M,M,8,3,2,M,M,M
1893-1894,M,M,M,M,1,6,6,8,1,4,M,M,M
1894-1895,M,M,M,M,M,M,7,4,7,1,M,M,M
1895-1896,M,M,M,M,0,2,5,6,7,0,M,M,M
1896-1897,M,M,M,M,1,2,3,4,2,0,M,M,M
1897-1898,M,M,M,M,5,5,7,3,3,2,M,M,M
1898-1899,M,M,0,0,M,M,M,9,7,2,0,0,M
1899-1900,0,M,M,0,1,0,4,2,4,0,M,M,M
1900-1901,M,M,M,M,M,2,7,3,1,0,M,M,M
1901-1902,M,M,M,M,2,5,3,4,3,0,M,M,M
1902-1903,M,M,M,0,1,10,4,3,0,0,M,M,M
1903-1904,M,M,M,0,1,6,13,5,3,1,0,0,M
1904-1905,0,0,0,0,3,9,9,5,2,0,0,0,28
1905-1906,0,0,0,0,0,2,6,2,6,2,0,0,18
1906-1907,0,0,0,0,2,8,7,10,5,5,0,0,37
1907-1908,0,0,0,0,1,4,4,6,4,0,0,0,19
1908-1909,0,0,0,0,0,5,4,5,3,0,0,0,17
1909-1910,0,0,0,0,1,3,7,5,0,0,0,0,16
1910-1911,0,0,0,0,2,5,1,7,5,4,0,0,24
1911-1912,0,0,0,0,M,2,9,1,3,0,0,0,M
1912-1913,0,0,0,0,1,2,1,3,1,0,0,0,8
1913-1914,0,0,0,0,2,3,5,5,5,1,0,0,21
1914-1915,0,0,0,0,2,5,5,2,1,1,0,0,16
1915-1916,0,0,0,0,0,5,3,7,9,2,0,0,26
1916-1917,0,0,0,0,2,4,7,5,5,1,0,0,24
1917-1918,0,0,0,0,1,4,8,M,5,2,0,0,M
1918-1919,0,0,0,0,0,5,4,3,3,0,0,0,15
1919-1920,0,0,0,0,0,4,8,12,3,1,0,0,28
1920-1921,0,0,0,0,1,2,4,4,0,0,0,0,11
1921-1922,0,0,0,0,4,5,3,6,3,1,0,0,22
1922-1923,0,0,0,0,1,6,10,6,4,0,0,0,27
1923-1924,0,0,0,0,0,4,3,6,2,2,0,0,17
1924-1925,0,0,0,0,3,2,7,1,3,1,0,0,17
1925-1926,0,0,0,2,1,4,6,7,11,3,0,0,34
1926-1927,0,0,0,1,2,8,6,9,2,0,0,0,M
1927-1928,0,0,0,0,1,4,8,7,7,3,0,0,30
1928-1929,0,0,0,0,5,2,10,6,6,6,0,0,35
1929-1930,0,0,0,0,4,7,7,8,0,0,0,0,M
1930-1931,0,0,0,0,0,6,6,7,6,2,0,0,27
1931-1932,0,0,0,0,1,2,9,10,7,0,0,0,29
1932-1933,0,0,0,0,0,7,4,7,9,2,0,0,29
1933-1934,0,0,0,0,6,5,4,7,8,0,0,0,30
1934-1935,0,0,0,1,2,7,9,8,2,3,0,0,M
1935-1936,0,0,0,0,4,4,11,6,5,1,0,0,31
1936-1937,0,0,0,0,2,2,10,0,8,2,0,0,24
1937-1938,0,0,0,0,3,6,7,5,3,2,0,0,26
1938-1939,0,0,0,0,3,5,7,7,6,3,0,0,31
1939-1940,0,0,0,0,1,4,6,10,5,4,0,0,30
1940-1941,0,0,0,0,2,4,8,3,9,0,0,0,26
1941-1942,0,0,0,0,0,2,4,3,5,2,0,0,M
1942-1943,0,0,0,0,2,8,11,6,5,3,0,0,35
1943-1944,0,0,0,0,5,1,5,7,7,1,0,0,26
1944-1945,0,0,0,0,6,6,9,8,5,0,1,0,35
1945-1946,0,0,0,0,3,7,5,7,0,2,0,0,24
1946-1947,0,0,0,0,0,5,4,3,4,3,0,0,19
1947-1948,0,0,0,0,3,8,12,9,6,0,0,0,38
1948-1949,0,0,0,0,1,4,8,7,4,0,0,0,24
1949-1950,0,0,0,0,2,4,4,14,6,2,0,0,32
1950-1951,0,0,0,0,0,6,6,6,5,0,0,0,23
1951-1952,0,0,0,0,2,7,10,8,7,0,0,0,34
1952-1953,0,0,0,0,0,2,9,4,2,2,0,0,19
1953-1954,0,0,0,0,2,1,12,5,0,0,0,0,20
1954-1955,0,0,0,0,1,2,0,2,5,2,0,0,12
1955-1956,0,0,0,0,2,2,3,10,10,2,0,0,29
1956-1957,0,0,0,0,1,8,7,6,5,4,0,0,31
1957-1958,0,0,0,0,0,2,11,8,10,3,0,0,34
1958-1959,0,0,0,0,2,9,8,5,10,0,0,0,34
1959-1960,0,0,0,0,1,10,10,10,9,3,0,0,43
1960-1961,0,0,0,2,0,6,7,5,7,5,0,0,32
1961-1962,0,0,0,1,1,5,2,11,6,3,0,0,29
1962-1963,0,0,0,1,2,10,9,9,8,1,0,0,M
1963-1964,0,0,0,1,0,9,6,9,5,3,0,0,33
1964-1965,0,0,0,1,0,7,12,8,11,4,0,0,43
1965-1966,0,0,0,0,1,4,12,8,2,1,0,0,28
1966-1967,0,0,0,0,2,8,6,13,6,4,0,0,39
1967-1968,0,0,0,0,6,5,9,4,3,0,0,0,27
1968-1969,0,0,0,0,6,8,6,9,7,0,0,0,36
1969-1970,0,0,0,0,2,13,9,5,9,2,0,0,40
1970-1971,0,0,0,0,0,12,10,8,6,7,0,0,43
1971-1972,0,0,0,0,7,7,5,11,6,6,0,0,42
1972-1973,0,0,0,0,4,12,5,7,1,2,0,0,31
1973-1974,0,0,0,0,0,2,6,11,5,3,0,0,27
1974-1975,0,0,0,0,3,6,8,9,5,2,0,0,33
1975-1976,0,0,0,0,3,8,11,8,10,0,0,0,40
1976-1977,0,0,0,0,1,8,8,10,7,3,2,0,39
