,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1891-1892,M,M,M,M,0,M,M,M,M,M,M,M
1,1892-1893,M,8,3,2,M,M,M,M,M,M,1,6
2,1893-1894,6,8,1,4,M,M,M,M,M,M,M,M
3,1894-1895,7,4,7,1,M,M,M,M,M,M,0,2
4,1895-1896,5,6,7,0,M,M,M,M,M,M,1,2
5,1896-1897,3,4,2,0,M,M,M,M,M,M,5,5
6,1897-1898,7,3,3,2,M,M,M,M,0,0,M,M
7,1898-1899,M,9,7,2,0,0,0,M,M,0,1,0
8,1899-1900,4,2,4,0,M,M,M,M,M,M,M,2
9,1900-1901,7,3,1,0,M,M,M,M,M,M,2,5
10,1901-1902,3,4,3,0,M,M,M,M,M,0,1,10
11,1902-1903,4,3,0,0,M,M,M,M,M,0,1,6
12,1903-1904,13,5,3,1,0,0,0,0,0,0,3,9
13,1904-1905,9,5,2,0,0,0,0,0,0,0,0,2
14,1905-1906,6,2,6,2,0,0,0,0,0,0,2,8
15,1906-1907,7,10,5,5,0,0,0,0,0,0,1,4
16,1907-1908,4,6,4,0,0,0,0,0,0,0,0,5
17,1908-1909,4,5,3,0,0,0,0,0,0,0,1,3
18,1909-1910,7,5,0,0,0,0,0,0,0,0,2,5
19,1910-1911,1,7,5,4,0,0,0,0,0,0,M,2
20,1911-1912,9,1,3,0,0,0,0,0,0,0,1,2
21,1912-1913,1,3,1,0,0,0,0,0,0,0,2,3
22,1913-1914,5,5,5,1,0,0,0,0,0,0,2,5
23,1914-1915,5,2,1,1,0,0,0,0,0,0,0,5
24,1915-1916,3,7,9,2,0,0,0,0,0,0,2,4
25,1916-1917,7,5,5,1,0,0,0,0,0,0,1,4
26,1917-1918,8,M,5,2,0,0,0,0,0,0,0,5
27,1918-1919,4,3,3,0,0,0,0,0,0,0,0,4
28,1919-1920,8,12,3,1,0,0,0,0,0,0,1,2
29,1920-1921,4,4,0,0,0,0,0,0,0,0,4,5
30,1921-1922,3,6,3,1,0,0,0,0,0,0,1,6
31,1922-1923,10,6,4,0,0,0,0,0,0,0,0,4
32,1923-1924,3,6,2,2,0,0,0,0,0,0,3,2
33,1924-1925,7,1,3,1,0,0,0,0,0,2,1,4
34,1925-1926,6,7,11,3,0,0,0,0,0,1,2,8
35,1926-1927,6,9,2,0,0,0,0,0,0,0,1,4
36,1927-1928,8,7,7,3,0,0,0,0,0,0,5,2
37,1928-1929,10,6,6,6,0,0,0,0,0,0,4,7
38,1929-1930,7,8,0,0,0,0,0,0,0,0,0,6
39,1930-1931,6,7,6,2,0,0,0,0,0,0,1,2
40,1931-1932,9,10,7,0,0,0,0,0,0,0,0,7
41,1932-1933,4,7,9,2,0,0,0,0,0,0,6,5
42,1933-1934,4,7,8,0,0,0,0,0,0,1,2,7
43,1934-1935,9,8,2,3,0,0,0,0,0,0,4,4
44,1935-1936,11,6,5,1,0,0,0,0,0,0,2,2
45,1936-1937,10,0,8,2,0,0,0,0,0,0,3,6
46,1937-1938,7,5,3,2,0,0,0,0,0,0,3,5
47,1938-1939,7,7,6,3,0,0,0,0,0,0,1,4
48,1939-1940,6,10,5,4,0,0,0,0,0,0,2,4
49,1940-1941,8,3,9,0,0,0,0,0,0,0,0,2
50,1941-1942,4,3,5,2,0,0,0,0,0,0,2,8
51,1942-1943,11,6,5,3,0,0,0,0,0,0,5,1
52,1943-1944,5,7,7,1,0,0,0,0,0,0,6,6
53,1944-1945,9,8,5,0,1,0,0,0,0,0,3,7
54,1945-1946,5,7,0,2,0,0,0,0,0,0,0,5
55,1946-1947,4,3,4,3,0,0,0,0,0,0,3,8
56,1947-1948,12,9,6,0,0,0,0,0,0,0,1,4
57,1948-1949,8,7,4,0,0,0,0,0,0,0,2,4
58,1949-1950,4,14,6,2,0,0,0,0,0,0,0,6
59,1950-1951,6,6,5,0,0,0,0,0,0,0,2,7
60,1951-1952,10,8,7,0,0,0,0,0,0,0,0,2
61,1952-1953,9,4,2,2,0,0,0,0,0,0,2,1
62,1953-1954,12,5,0,0,0,0,0,0,0,0,1,2
63,1954-1955,0,2,5,2,0,0,0,0,0,0,2,2
64,1955-1956,3,10,10,2,0,0,0,0,0,0,1,8
65,1956-1957,7,6,5,4,0,0,0,0,0,0,0,2
66,1957-1958,11,8,10,3,0,0,0,0,0,0,2,9
67,1958-1959,8,5,10,0,0,0,0,0,0,0,1,10
68,1959-1960,10,10,9,3,0,0,0,0,0,2,0,6
69,1960-1961,7,5,7,5,0,0,0,0,0,1,1,5
70,1961-1962,2,11,6,3,0,0,0,0,0,1,2,10
71,1962-1963,9,9,8,1,0,0,0,0,0,1,0,9
72,1963-1964,6,9,5,3,0,0,0,0,0,1,0,7
73,1964-1965,12,8,11,4,0,0,0,0,0,0,1,4
74,1965-1966,12,8,2,1,0,0,0,0,0,0,2,8
75,1966-1967,6,13,6,4,0,0,0,0,0,0,6,5
76,1967-1968,9,4,3,0,0,0,0,0,0,0,6,8
77,1968-1969,6,9,7,0,0,0,0,0,0,0,2,13
78,1969-1970,9,5,9,2,0,0,0,0,0,0,0,12
79,1970-1971,10,8,6,7,0,0,0,0,0,0,7,7
80,1971-1972,5,11,6,6,0,0,0,0,0,0,4,12
81,1972-1973,5,7,1,2,0,0,0,0,0,0,0,2
82,1973-1974,6,11,5,3,0,0,0,0,0,0,3,6
83,1974-1975,8,9,5,2,0,0,0,0,0,0,3,8
84,1975-1976,11,8,10,0,0,0,0,0,0,0,1,8
85,1976-1977,8,10,7,3,2,0,0,0,0,0,2,11
86,1977-1978,13,4,6,0,0,0,0,0,0,0,4,7
87,1978-1979,9,5,2,3,0,0,0,0,0,1,0,3
