,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1890-1891,14.8,11.8,16,0,0,0,0,0,0,T,0,T
1,1891-1892,12.5,14,20.3,0,0,0,0,0,0,0,1.2,2.5
2,1892-1893,14.6,35.3,4.5,7.9,0,0,0,0,0,0,0.4,18.5
3,1893-1894,15,21.6,T,8.5,0,0,0,0,0,0,6.4,13.5
4,1894-1895,13.9,8.8,3.8,0.5,0,0,0,0,0,0,T,5.2
5,1895-1896,9.5,9.5,14.5,0,0,0,0,0,0,0,2.2,8.6
6,1896-1897,18.2,10.9,3.3,T,0,0,0,0,0,0,8.1,7.8
7,1897-1898,16.3,11.5,6,2.2,0,0,0,0,0,0,17.8,7.5
8,1898-1899,6.1,30.2,9.3,T,0,0,0,0,0,T,0.1,T
9,1899-1900,8.3,9,7.6,0,T,0,0,0,0,0,0.1,0.8
10,1900-1901,7.8,8.8,T,0,0,0,0,0,0,0,0,12.6
11,1901-1902,11,13,7.5,T,0,0,0,0,0,T,T,22.8
12,1902-1903,4.2,14.7,0.3,T,0,0,0,0,0,0,0,10.6
13,1903-1904,35.7,16.5,8.9,1.2,0,0,0,0,0,T,T,12
14,1904-1905,21.3,8,3.6,T,0,0,0,0,0,0,T,3.5
15,1905-1906,6.1,6.1,21.9,T,0,0,0,0,0,0,1.1,15.5
16,1906-1907,16.1,25.5,6.6,3.1,T,0,0,0,0,0,0,7
17,1907-1908,4.3,9.3,4.8,0.8,0,0,0,0,0,0,T,3.5
18,1908-1909,11.2,2.3,3.1,0,0,0,0,0,0,T,T,12.3
19,1909-1910,11.9,12.6,0.2,0,0,0,0,0,0,0,1.4,8.2
20,1910-1911,0.7,19.5,3.1,7.7,0,0,0,0,0,0,0.3,3.7
21,1911-1912,17.8,0.2,9.1,0.5,0,0,0,0,0,0,0.3,9.2
22,1912-1913,0.3,7.7,0.5,1.4,0,0,0,0,0,T,T,0.9
23,1913-1914,10.3,20.6,5.2,2,0,0,0,0,0,T,T,4.1
24,1914-1915,7,5.1,T,6.1,0,0,0,0,0,0,0.2,6.7
25,1915-1916,4.8,30.3,33,4.2,0,0,0,0,0,0,0.7,9.5
26,1916-1917,13.1,8.9,12.9,9.1,T,0,0,0,0,T,2.2,7
27,1917-1918,13.8,5.7,12.8,4.2,0,0,0,0,0,0,T,8.4
28,1918-1919,4.1,6.2,2.4,T,0,0,0,0,0,0,0.2,2.9
29,1919-1920,24.8,32.5,11,2,T,0,0,0,0,0,1.8,5.5
30,1920-1921,3.6,23.2,T,T,0,0,0,0,0,0,1.6,4.4
31,1921-1922,2.7,15.5,5.9,3.3,0,0,0,0,0,0,0.9,14.7
32,1922-1923,25.3,14.4,10.6,T,0,0,0,0,0,0,T,3
33,1923-1924,8.5,7.9,7.4,3,0,0,0,0,0,0,0.5,0.2
34,1924-1925,20.7,T,T,T,0,0,0,0,0,T,T,0.5
35,1925-1926,7.4,27.3,2.8,T,0,0,0,0,0,0,T,24.2
36,1926-1927,16.1,0,0.6,0.2,0,0,0,0,0,0,0.5,T
37,1927-1928,5.1,8.7,6.5,T,0,0,0,0,0,T,1.4,4.6
38,1928-1929,13,19.6,3.6,T,0,0,0,0,0,0,3.2,10.6
39,1929-1930,7.5,10.2,0.6,T,0,0,0,0,0,T,0.1,7.7
40,1930-1931,11.7,M,7.3,T,0,0,0,0,0,0,T,1.4
41,1931-1932,1.2,M,5.8,T,0,0,0,0,0,0,T,8.6
42,1932-1933,1.3,20.6,5.1,5,0,0,0,0,0,0,2.9,15.6
43,1933-1934,0.8,32.9,10.5,T,0,0,0,0,0,T,T,1.6
44,1934-1935,M,12.7,2.1,1.9,0,0,0,0,0,0,1,0.3
45,1935-1936,M,M,3.3,T,0,0,0,0,0,0,4.4,0.7
46,1936-1937,2,T,1.9,T,0,0,0,0,0,0,0.3,M
47,1937-1938,31,10,0.4,0.9,0.9,0,0,0,0,0,5,1.9
48,1938-1939,7.5,4.7,18.3,0.2,0,0,0,0,0,0,1,6.5
49,1939-1940,4.6,23.8,0.3,1.5,0,0,0,0,0,T,8.5,4.5
50,1940-1941,20.4,1.9,12.5,0,T,0,0,0,0,T,T,0.2
51,1941-1942,8.2,6.2,7.8,1.5,0,0,0,0,0,0,T,6.8
52,1942-1943,26.4,4.5,8,T,0,0,0,0,0,0,T,0.3
53,1943-1944,5.1,9.6,12.7,T,0,0,0,0,0,0,1.2,6.9
