,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1904-1905,27.1,10.9,0.4,0.1,T,0,0,0,0,0,T,3.6
1,1905-1906,4.7,9.9,15.5,1.5,0,0,0,0,0,0,5.2,13.1
2,1906-1907,16.4,25.8,6.6,8.6,T,0,0,0,0,0,0.2,13.1
3,1907-1908,6.1,18.6,2.6,T,0,0,0,0,0,T,2.4,9.6
4,1908-1909,9.4,1.6,8.6,0.7,0,0,0,0,0,0,1.9,17.5
5,1909-1910,14.6,12.2,0.2,0.2,0,0,0,0,0,0,3.3,5.9
6,1910-1911,0.5,14.6,6.8,4.7,0,0,0,0,0,0,1.1,4
7,1911-1912,15.1,0.1,10.6,T,0,0,0,0,0,0,0.5,7
8,1912-1913,0.8,9.3,2.1,T,0,0,0,0,0,T,0.7,1.5
9,1913-1914,5.7,27.8,5.9,T,0,0,0,0,0,T,4.5,2.5
10,1914-1915,7.4,3,1,7.5,0,0,0,0,0,T,T,20
11,1915-1916,1.8,24.6,27.4,3.3,0,0,0,0,0,0,0.6,6.8
12,1916-1917,7.9,7.4,7.2,0.4,T,0,0,0,0,0,0.4,13.7
13,1917-1918,13.2,5.8,7,4.5,0,0,0,0,0,0,T,4.2
14,1918-1919,1.1,8.5,3.4,T,0,0,0,0,0,0,T,2.8
15,1919-1920,15.8,24.6,10,0.1,0,0,0,0,0,0,T,2.6
16,1920-1921,2.3,21.2,T,T,0,0,0,0,0,0,T,1.4
17,1921-1922,6.6,11,5.8,1.7,0,0,0,0,0,0,0.5,12.1
18,1922-1923,40.1,13.1,3.8,0.2,T,0,0,0,0,0,T,7.1
19,1923-1924,4,2.7,4.2,9.7,0,0,0,0,0,0,0.9,0.5
20,1924-1925,17.3,0.1,0.2,T,0,0,0,0,0,0.1,T,3
21,1925-1926,5.2,32.7,4.6,0.1,0,0,0,0,0,T,0,20.7
22,1926-1927,12.7,8.6,2.1,T,0,0,0,0,0,0,T,T
23,1927-1928,4.8,7.8,7.9,T,0,0,0,0,0,T,T,0.4
24,1928-1929,10.7,9.9,3.9,1.9,0,0,0,0,0,0,1.3,7.4
25,1929-1930,3.1,6.5,T,T,0,0,0,0,0,T,T,9.5
26,1930-1931,12.9,6.1,6,T,0,0,0,0,0,0,1.1,1.6
27,1931-1932,2.8,9.4,2.3,0.1,0,0,0,0,0,T,T,8.3
28,1932-1933,5,20.7,5.3,1,0,0,0,0,0,0,9,14.9
29,1933-1934,0.5,31.5,9.9,0,0,0,0,0,0,T,T,0.3
30,1934-1935,20.1,15.3,4.2,1.2,0,0,0,0,0,0,4.7,0.9
31,1935-1936,15.2,12.8,5.5,T,0,0,0,0,0,0,2.8,0.9
32,1936-1937,4.2,0.9,5,0.9,0,0,0,0,0,0,1.8,2.1
33,1937-1938,23.6,7.9,1.6,3.3,0,0,0,0,0,0,15.6,4.4
34,1938-1939,11.8,8.6,15.2,1,0,0,0,0,0,0,T,9.3
35,1939-1940,7.7,16.9,5.9,1.7,0,0,0,0,0,T,5,4.1
36,1940-1941,10.3,1.9,18.7,0,0,0,0,0,0,0,T,1
37,1941-1942,7.1,5.7,2.3,0.5,0,0,0,0,0,0,T,10.2
38,1942-1943,19.6,8.5,9.6,0.1,0,0,0,0,0,0,4.6,0.4
39,1943-1944,0.7,8.9,12.2,T,0,0,0,0,0,0,6.6,12.9
40,1944-1945,20.1,24.3,2.9,0,0,0,0,0,0,0,10,45.3
41,1945-1946,10.2,13.5,0,0.9,0,0,0,0,0,0,0.2,5.1
42,1946-1947,6.3,18.7,2.9,0.7,0,0,0,0,0,0,0.4,22.9
43,1947-1948,27.6,15,11.8,T,0,0,0,0,0,0,1.7,13.2
44,1948-1949,16.4,13.4,15.8,0,0,0,0,0,0,0,3.9,12.6
45,1949-1950,3.6,18.9,5.6,4.7,0,0,0,0,0,0,T,7.4
46,1950-1951,12.3,6.1,11.3,0,0,0,0,0,0,0,0.6,9.7
47,1951-1952,16.3,16.1,4.2,0,0,0,0,0,0,T,0.3,2.2
48,1952-1953,16.4,6.5,T,T,0,T,0,0,0,0,4.3,0.1
49,1953-1954,17.1,1.1,T,0.3,0,0,0,0,0,0,0,2
50,1954-1955,1.2,5.3,11.3,3.6,0,T,0,0,0,T,3,3.2
51,1955-1956,6.8,14.5,43.3,5.3,0,0,0,0,0,0,1,7.5
52,1956-1957,18.3,3.5,8.3,5.5,0,0,0,0,0,T,T,5.5
53,1957-1958,13.3,17.1,12.4,5.1,0,0,0,0,0,T,1.4,8.9
54,1958-1959,6.9,6.9,19.1,0,0,0,0,0,0,0,0.6,9.1
55,1959-1960,13.4,4.6,16.9,T,0,0,0,0,0,T,0,17.6
56,1960-1961,30.6,14.9,15.7,1.4,0,0,0,0,0,M,5,11.3
57,1961-1962,1.6,22.9,0.7,T,0,0,0,M,0,T,2.4,15.9
58,1962-1963,7.7,14.5,13.8,T,0,0,0,0,0,T,T,16.1
59,1963-1964,13.8,22,4.1,T,0,0,0,0,0,T,T,12.3
60,1964-1965,28.7,6,7.8,1.7,0,0,0,0,0,0,T,4.5
61,1965-1966,18.4,19.1,10.6,T,0,0,0,0,0,0,T,20
62,1966-1967,3,25.2,33.2,1.4,T,0,0,0,0,0,3.7,21.7
63,1967-1968,7.5,1.6,6.8,0,0,0,0,0,0,0,7.9,13.9
64,1968-1969,3.4,32.2,4.4,0,0,0,0,0,0,T,T,35.4
65,1969-1970,3.2,6.7,14.7,2,0,0,0,0,0,T,T,27
66,1970-1971,17.7,8.4,12.8,4,0,0,0,0,0,0,8.2,6.6
67,1971-1972,2.9,24.9,13.2,2.7,0,0,0,0,0,0.4,2.1,12
68,1972-1973,14.1,5.9,0.4,0.3,0,0,0,0,0,0,T,3.1
69,1973-1974,14.3,5.8,4.8,2.1,0,0,0,0,0,T,0.8,8.5
70,1974-1975,10.2,16,2.5,0.3,0,0,0,0,0,0,0.3,13.4
71,1975-1976,15.6,5,12.3,0,0,0,0,0,0,0,0.4,7.3
72,1976-1977,20,9.1,11,0.3,1.3,0,0,0,0,0,1.3,12.6
73,1977-1978,37,18.1,13.3,T,0,0,0,0,0,0,4.3,10.3
74,1978-1979,8.6,9.2,T,3.6,0,0,0,0,0,1.7,0,0.9
75,1979-1980,0.2,7.7,5.9,T,0,0,0,0,0,0,8.6,3.9
76,1980-1981,4.1,0.9,0.2,0,0,0,0,0,0,T,T,13.1
77,1981-1982,16.7,5.8,6.5,14.3,0,0,0,0,0,0,T,5.7
78,1982-1983,10.2,29.4,0.2,0.9,0,0,0,0,0,0,T,7.9
79,1983-1984,14.7,1.3,19.3,T,0,0,0,0,0,0,0.1,3.8
80,1984-1985,6.9,9.4,2.1,1.4,0,0,0,0,0,0,2,5.4
81,1985-1986,5.1,11.8,0.2,0.8,0,0,0,0,0,0,8.7,4.9
82,1986-1987,34,1.6,1.7,0.4,0,0,0,0,0,T,8.6,5.8
83,1987-1988,22.6,17.6,4.9,T,T,0,0,0,0,0,0,6.3
84,1988-1989,0.6,4.6,3.4,T,T,0,0,0,0,0,5.3,12.4
85,1989-1990,10.5,9,4.3,1.5,0,0,0,0,0,0,T,8.1
86,1990-1991,10.2,5.8,5.7,0,0,0,0,0,0,0,0.7,6
87,1991-1992,1.7,5.3,7.3,2.6,0,0,0,0,0,T,T,6.7
88,1992-1993,10.5,13.8,31.1,T,0,T,0,0,0,0,T,6.7
89,1993-1994,31.3,29.4,17.5,0,T,0,0,0,0,0,3.9,1.1
90,1994-1995,5.7,10.1,0,1.5,0,0,0,0,0,0,5.6,20.3
91,1995-1996,42.8,20.6,17.8,M,M,M,M,M,M,M,M,M
92,1996-1997,M,M,M,M,M,M,M,M,M,M,M,M
93,1997-1998,M,M,M,M,M,M,M,M,M,M,M,M
94,1998-1999,M,M,M,M,M,M,M,M,M,M,M,M
95,1999-2000,M,M,13.5,M,M,M,M,M,M,M,M,8
96,2000-2001,10.4,21.4,13.5,0,M,M,M,M,M,M,M,3
97,2001-2002,M,M,M,M,M,M,M,M,M,M,M,13.6
98,2002-2003,15.6,21.4,11.1,2.3,0,0,0,0,0,T,T,23.4
99,2003-2004,11.1,4,7,0,0,0,0,0,0,0,1.5,9.6
100,2004-2005,27.7,16.3,19,0,0,0,0,0,0,0,3.3,16.6
101,2005-2006,21.8,22.2,4.8,1.2,0,0,0,0,0,0,0,T
102,2006-2007,1.2,11.2,11.6,T,0,0,0,0,0,0,1,18.8
103,2007-2008,10.6,12.9,4.2,0,T,0,0,T,0,0,T,20.7
104,2008-2009,12.9,3.9,8,0,0,0,0,0,0,T,0,12.8
105,2009-2010,6.4,11.4,T,0,0,0,0,0,0,0,T,14.2
106,2010-2011,54.3,15.6,1,1.3,0,0,0,0,0,12.3,0,T
107,2011-2012,6.8,5.9,1.7,0,0,0,0,0,0,0,2.9,12.9
108,2012-2013,5.9,25.4,9.8,0,0,0,0,0,0,T,T,12.7
109,2013-2014,10.3,27.1,0.8,0.2,0,0,0,0,0,0,5.1,0.7
110,2014-2015,17.1,31.9,9,T,0,0,0,0,0,T,0,1
111,2015-2016,1.9,14.2,2.9,6.9,0,0,0,0,0,1.5,T,10.2
