,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1892-1893,M,M,M,7.5,M,M,M,M,M,M,M,20.6
1,1893-1894,17.8,25.5,M,21.5,M,M,M,M,M,M,14,M
2,1894-1895,16,8,7,1,M,M,M,0,M,T,1,M
3,1895-1896,13,15,23,1.5,M,M,M,M,M,M,6,14
4,1896-1897,18.5,12.5,M,1,M,M,M,M,M,M,9,5
5,1897-1898,27,14,13,6,M,M,M,M,M,M,23,5
6,1898-1899,11,36,21,1,M,M,M,M,M,M,1,T
7,1899-1900,10,12,10,M,T,M,M,M,M,M,T,2.7
8,1900-1901,9.6,9.1,0.9,M,M,M,M,M,M,M,3.6,8.2
9,1901-1902,11.4,22.5,11,M,M,M,M,M,M,T,0,32
10,1902-1903,10,19,0.2,0,M,M,M,M,M,M,3.8,14
11,1903-1904,48,20.7,11.9,5,M,M,M,M,M,0,2.2,M
12,1904-1905,28.6,11,6.3,T,T,M,M,M,M,M,T,6.2
13,1905-1906,7.8,5.1,26,1,M,M,M,M,M,T,5,14
14,1906-1907,21.5,31.8,12.6,15.4,M,M,M,M,M,M,M,17.5
15,1907-1908,10.3,12.9,8.5,1.2,T,M,M,M,M,M,T,4.4
16,1908-1909,15,5.3,6.8,0.4,M,M,M,M,M,M,3.1,19.8
17,1909-1910,18.2,18.2,0.6,T,T,M,M,M,M,M,2,10.2
18,1910-1911,1,23.3,4.6,10.1,M,M,M,M,M,M,0.4,5.5
19,1911-1912,28.5,1.3,10.9,0.9,M,M,M,M,M,M,1,10.1
20,1912-1913,2.3,10.4,2,3,M,M,M,M,M,2,2,2.6
21,1913-1914,10.9,25.6,11.8,3.5,M,M,M,M,M,T,T,9.1
22,1914-1915,13,7,0.6,10,M,M,M,M,M,M,1,12.3
23,1915-1916,6.4,33.4,42.2,16.2,M,M,M,M,M,M,1.1,10.9
24,1916-1917,14.9,11.7,20.5,12.2,3,M,M,M,M,M,3,13
25,1917-1918,17.6,7.7,17,9,M,M,M,M,M,M,0.1,10.1
26,1918-1919,3.7,8.3,2.9,T,M,M,M,M,M,M,1.4,4.5
27,1919-1920,27.1,40.4,10.6,1.2,0.1,M,M,M,M,M,5,6.4
28,1920-1921,10.3,27.4,T,1.1,M,M,M,M,M,M,1.5,6.2
29,1921-1922,6.4,23,12.8,4,M,M,M,M,M,M,1.6,23.3
30,1922-1923,44.5,21.2,11,0.9,M,M,M,M,M,M,0.3,6.5
31,1923-1924,10,14.7,15.1,7,M,M,M,M,M,M,1.3,0.9
32,1924-1925,28,1,1.2,3.3,M,M,M,M,M,M,0.1,2.9
33,1925-1926,8.1,34.7,9.1,0.6,M,M,M,M,M,T,T,27.3
34,1926-1927,17.6,M,0.7,0.5,M,M,M,M,M,M,0.1,2.2
35,1927-1928,7.1,12.6,8.4,0.8,M,M,M,M,M,M,1.5,4.7
36,1928-1929,14.5,25.3,9.5,6,0,M,M,M,M,M,4,13.1
37,1929-1930,7.9,9,0.3,T,0,M,M,0,M,0.1,0.1,12.1
38,1930-1931,14.2,14.4,M,2.8,0,M,0,M,0,M,0.3,2.1
39,1931-1932,10.7,10.7,M,0.2,0,M,0,M,0,0,T,10.9
40,1932-1933,2.5,23.4,18.8,6.9,0,0,0,0,0,0,5.7,20.3
41,1933-1934,1.4,34.7,9.4,T,M,0,0,0,0,4.2,T,1.5
42,1934-1935,27.2,M,3.1,5.1,T,M,M,0,M,0,3.4,0.9
43,1935-1936,M,12.2,M,T,0,M,M,M,M,0,4.9,T
44,1936-1937,2.7,0.4,4.3,T,M,M,M,M,M,M,2.3,5.6
45,1937-1938,M,15.9,1.6,0.6,M,M,M,M,M,M,14.1,3.7
46,1938-1939,10.7,7.8,25,1,M,M,M,M,M,M,2.4,7.3
47,1939-1940,8.5,34.4,1.9,3.4,M,M,M,M,M,T,9.7,5.2
48,1940-1941,25.8,1.5,M,T,T,M,M,M,M,M,0,0.4
49,1941-1942,12.7,9.6,11.6,5.5,M,0,M,M,M,M,T,11.3
50,1942-1943,31.1,6.2,12.3,0.3,M,M,M,M,M,T,4.4,0.1
51,1943-1944,7,11.2,14.6,T,M,M,M,M,M,0,8.4,M
52,1944-1945,22.3,25.5,3.3,0,T,0,M,0,M,M,16.7,45.2
53,1945-1946,11.9,14,2.5,0.9,0,M,M,M,0,0,0,7.9
54,1946-1947,7.8,11.3,3.5,3.5,T,M,0,0,0,M,4.8,39.5
55,1947-1948,56.3,21.6,13.8,T,0,0,M,M,M,0,1.8,10.9
56,1948-1949,13.9,8.4,22.2,T,0,0,T,0,T,0,1.8,5.6
57,1949-1950,6.2,21.1,14.1,0.1,0,T,0,0,0,0,0.5,4.6
58,1950-1951,14.9,14.6,6.7,0,0,0,0,0,0,0,0.3,12.3
59,1951-1952,19,26.1,3.3,T,T,0,0,0,0,T,0.1,7.5
60,1952-1953,22.7,17.2,0.6,8.4,0,0,0,0,0,0,T,T
61,1953-1954,28.1,1.8,M,2.6,0,0,0,0,T,0,0.1,18.7
62,1954-1955,1.1,8.5,13.7,0.8,0,0,T,0,0,0,5.2,3.4
63,1955-1956,14.7,20.4,52,11.1,0,0,0,0,0,0,0.7,22.7
64,1956-1957,24.6,4.5,24.7,3.6,0,0,0,0,0,M,0.2,0.2
65,1957-1958,22.3,26.4,30.6,10.6,0,0,0,0,0,0,T,7.7
66,1958-1959,4.7,10.9,22.3,T,0,0,0,0,0,0,1.5,5.8
67,1959-1960,11.6,4.1,33.9,0,0,0,0,0,0,3,T,27.1
68,1960-1961,21.1,16,17.4,3.5,0,0,0,0,0,T,2.7,18.3
69,1961-1962,4.7,30.1,1.5,3,0,0,0,0,0,3,3.4,6.1
70,1962-1963,8,8.4,17.5,T,0,0,0,0,0,0.2,0,25.2
71,1963-1964,20.1,32.2,8.3,T,0,0,0,0,0,0,0,11.9
72,1964-1965,33,5,11.8,3.7,0,0,0,0,0,0,T,2.4
73,1965-1966,46,20.5,4.8,T,0,0,0,0,0,0,0,13.8
74,1966-1967,2.4,45.2,41,7.2,T,0,0,0,0,0,5.8,22.8
75,1967-1968,23.2,5.7,10.2,0,0,0,0,0,0,0,0.4,5.2
76,1968-1969,0.9,65.4,11.9,0,0,0,0,0,0,T,0,21
77,1969-1970,10.6,7.9,20.8,1,0,0,0,0,0,T,0,26.5
78,1970-1971,12.2,5.3,9.6,4.8,0,0,0,0,0,0,12,10.7
79,1971-1972,6.2,24.1,21.8,4.5,0,0,0,0,0,1,2,9.1
80,1972-1973,6.1,4,2,T,0,0,0,0,0,0,0,0.4
81,1973-1974,17.4,13.6,0.4,3,0,0,0,0,0,0,4.8,7.3
82,1974-1975,5.1,20.1,4.2,6.3,0,0,0,0,0,T,2.3,23.9
83,1975-1976,17.3,2.4,13.7,T,0,0,0,0,0,0,1.6,22.5
84,1976-1977,27.1,9.5,12.7,T,7.8,0,0,0,0,0,0.8,7.6
85,1977-1978,35.6,30.4,19,0.1,T,0,0,0,0,0,7.5,8
86,1978-1979,9,9.1,0.1,3.2,0,0,0,0,0,6.8,0,6.2
87,1979-1980,0.7,6.9,4.7,T,0,0,0,0,0,0,7.3,8.1
88,1980-1981,16.1,8.3,2.5,T,0,0,0,0,0,0,T,27.3
89,1981-1982,17.4,10.9,6,14,0,0,0,0,0,0,T,15.8
90,1982-1983,11.2,28.5,1,T,0,0,0,0,0,0,T,9.5
91,1983-1984,23.6,0.6,26.7,T,0,0,0,0,0,0,0.2,5.2
92,1984-1985,11.1,16.7,10.4,3.5,T,0,0,0,0,0,5.1,2.9
93,1985-1986,1.6,13.8,3,T,T,0,0,0,0,0,13.5,6.4
94,1986-1987,38.3,5.6,8.4,13.5,0,0,0,0,0,0,11.4,12.1
95,1987-1988,20.3,16.3,8.5,T,0,0,0,0,0,T,0,8.4
96,1988-1989,1.4,10.2,9.3,4.7,0,0,0,0,0,0,5.6,7.3
97,1989-1990,13.3,25.8,5.7,1.5,0.2,0,0,0,0,0,0.4,5.6
98,1990-1991,11.7,M,5.5,T,0,T,0,0,0,T,0.2,7.5
99,1991-1992,1.1,5,11.9,1.5,0,0,0,0,0,0,0.5,19
100,1992-1993,13.5,12.8,35.5,3,0,0,0,0,0,0,0.3,15
101,1993-1994,33,33.9,18.9,0,0,0,0,0,0,0,1.6,1.3
102,1994-1995,4.2,10,0.7,T,T,0,0,0,0,0,5.8,25.3
103,1995-1996,47.6,18.3,22.2,24.2,T,0,0,0,0,T,2.6,9.3
104,1996-1997,12.2,7.8,22.6,15.1,0,0,0,0,0,0,4.1,15.3
105,1997-1998,15.8,1,5.3,0.1,0,0,0,0,M,0,0,1.9
106,1998-1999,19.7,14.4,22.5,T,0,0,0,0,0,0,T,T
107,1999-2000,18.6,11,3,1,0,0,0,0,0,0.6,T,9.5
108,2000-2001,19.4,19,41.4,0.9,0,0,0,0,0,T,T,10.1
109,2001-2002,14.5,7.6,6.8,1.3,T,0,T,0,0,1.3,8.2,21.8
110,2002-2003,12.7,51.3,13,4.8,0,0,0,0,0,0.5,T,29.7
111,2003-2004,8.4,3.1,15.8,0.5,0,0,0,0,0,0,7.8,16.2
112,2004-2005,44.8,16.9,33.5,0.2,0,0,0,0,0,1.5,0.6,13.2
113,2005-2006,18.3,17.5,0.1,1,0,0,0,0,0,0,0,3.7
114,2006-2007,2.9,7.3,13.5,0.2,0,0,0,0,0,0,0.8,29.5
115,2007-2008,13.8,16,6.4,T,0,0,0,0,0,0,T,22.9
116,2008-2009,32.2,10.2,13.4,0.2,T,0,0,0,0,3,0,26.8
117,2009-2010,14.7,12,7.9,T,0,0,0,0,0,T,0.1,22.9
118,2010-2011,48.2,18.5,2.5,4.6,0,0,0,0,0,8.5,0,T
119,2011-2012,8,0.7,7,T,0,0,0,0,0,0,6,9.4
120,2012-2013,6,39.7,37.8,T,0,0,0,0,0,0,0.2,15.4
121,2013-2014,32.8,33,3,0.8,M,0,0,0,0,0,8.7,2.3
122,2014-2015,42.9,83.6,13.3,T,0,0,0,0,0,0,0,1.3
123,2015-2016,14.3,22.5,4.4,15,T,0,0,0,0,0,T,7.8
