Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1890-1891,M,M,M,M,M,M,14.8,11.8,16,0,0,0,M
1891-1892,0,0,0,T,0,T,12.5,14,20.3,0,0,0,46.8
1892-1893,0,0,0,0,1.2,2.5,14.6,35.3,4.5,7.9,0,0,66
1893-1894,0,0,0,0,0.4,18.5,15,21.6,T,8.5,0,0,64
1894-1895,0,0,0,0,6.4,13.5,13.9,8.8,3.8,0.5,0,0,46.9
1895-1896,0,0,0,0,T,5.2,9.5,9.5,14.5,0,0,0,38.7
1896-1897,0,0,0,0,2.2,8.6,18.2,10.9,3.3,T,0,0,43.2
1897-1898,0,0,0,0,8.1,7.8,16.3,11.5,6,2.2,0,0,51.9
1898-1899,0,0,0,0,17.8,7.5,6.1,30.2,9.3,T,0,0,70.9
1899-1900,0,0,0,T,0.1,T,8.3,9,7.6,0,T,0,25
1900-1901,0,0,0,0,0.1,0.8,7.8,8.8,T,0,0,0,17.5
1901-1902,0,0,0,0,0,12.6,11,13,7.5,T,0,0,44.1
1902-1903,0,0,0,T,T,22.8,4.2,14.7,0.3,T,0,0,42
1903-1904,0,0,0,0,0,10.6,35.7,16.5,8.9,1.2,0,0,72.9
1904-1905,0,0,0,T,T,12,21.3,8,3.6,T,0,0,44.9
1905-1906,0,0,0,0,T,3.5,6.1,6.1,21.9,T,0,0,37.6
1906-1907,0,0,0,0,1.1,15.5,16.1,25.5,6.6,3.1,T,0,67.9
1907-1908,0,0,0,0,0,7,4.3,9.3,4.8,0.8,0,0,26.2
1908-1909,0,0,0,0,T,3.5,11.2,2.3,3.1,0,0,0,20.1
1909-1910,0,0,0,T,T,12.3,11.9,12.6,0.2,0,0,0,37
1910-1911,0,0,0,0,1.4,8.2,0.7,19.5,3.1,7.7,0,0,40.6
1911-1912,0,0,0,0,0.3,3.7,17.8,0.2,9.1,0.5,0,0,31.6
1912-1913,0,0,0,0,0.3,9.2,0.3,7.7,0.5,1.4,0,0,19.4
1913-1914,0,0,0,T,T,0.9,10.3,20.6,5.2,2,0,0,39
1914-1915,0,0,0,T,T,4.1,7,5.1,T,6.1,0,0,22.3
1915-1916,0,0,0,0,0.2,6.7,4.8,30.3,33,4.2,0,0,79.2
1916-1917,0,0,0,0,0.7,9.5,13.1,8.9,12.9,9.1,T,0,54.2
1917-1918,0,0,0,T,2.2,7,13.8,5.7,12.8,4.2,0,0,45.7
1918-1919,0,0,0,0,T,8.4,4.1,6.2,2.4,T,0,0,21.1
1919-1920,0,0,0,0,0.2,2.9,24.8,32.5,11,2,T,0,73.4
1920-1921,0,0,0,0,1.8,5.5,3.6,23.2,T,T,0,0,34.1
1921-1922,0,0,0,0,1.6,4.4,2.7,15.5,5.9,3.3,0,0,33.4
1922-1923,0,0,0,0,0.9,14.7,25.3,14.4,10.6,T,0,0,65.9
1923-1924,0,0,0,0,T,3,8.5,7.9,7.4,3,0,0,29.8
1924-1925,0,0,0,0,0.5,0.2,20.7,T,T,T,0,0,21.4
1925-1926,0,0,0,T,T,0.5,7.4,27.3,2.8,T,0,0,38
1926-1927,0,0,0,0,T,24.2,16.1,0,0.6,0.2,0,0,41.1
1927-1928,0,0,0,0,0.5,T,5.1,8.7,6.5,T,0,0,20.8
1928-1929,0,0,0,T,1.4,4.6,13,19.6,3.6,T,0,0,M
1929-1930,0,0,0,0,3.2,10.6,7.5,10.2,0.6,T,0,0,M
1930-1931,0,0,0,T,0.1,7.7,11.7,M,7.3,T,0,0,M
1931-1932,0,0,0,0,T,1.4,1.2,M,5.8,T,0,0,M
1932-1933,0,0,0,0,T,8.6,1.3,20.6,5.1,5,0,0,40.6
1933-1934,0,0,0,0,2.9,15.6,0.8,32.9,10.5,T,0,0,62.7
1934-1935,0,0,0,T,T,1.6,M,12.7,2.1,1.9,0,0,M
1935-1936,0,0,0,0,1,0.3,M,M,3.3,T,0,0,M
1936-1937,0,0,0,0,4.4,0.7,2,T,1.9,T,0,0,9
1937-1938,0,0,0,0,0.3,M,31,10,0.4,0.9,0.9,0,M
1938-1939,0,0,0,0,5,1.9,7.5,4.7,18.3,0.2,0,0,M
1939-1940,0,0,0,0,1,6.5,4.6,23.8,0.3,1.5,0,0,M
1940-1941,0,0,0,T,8.5,4.5,20.4,1.9,12.5,0,T,0,47.8
1941-1942,0,0,0,T,T,0.2,8.2,6.2,7.8,1.5,0,0,23.9
1942-1943,0,0,0,0,T,6.8,26.4,4.5,8,T,0,0,45.7
1943-1944,0,0,0,0,T,0.3,5.1,9.6,12.7,T,0,0,27.7
1944-1945,0,0,0,0,1.2,6.9,24.3,26.3,0.5,0,T,0,59.2
1945-1946,0,0,0,0,4.9,24.6,9.8,9.8,0.2,1.5,0,0,50.8
1946-1947,0,0,0,0,T,4.9,4,9,0.9,0.6,0,0,19.4
1947-1948,0,0,0,0,1.1,26.8,32.5,17,11.8,0,0,0,89.2
1948-1949,0,0,0,0,1.1,5.5,13.7,6.9,9.9,0,T,0,37.1
1949-1950,0,0,0,0,1.4,2.4,7.9,15.2,5.1,T,0,0,32
1950-1951,0,0,0,0,T,2.7,13.9,9.2,3.9,T,0,0,29.7
1951-1952,0,T,0,0,T,8.4,10.7,11.4,1.4,0,0,T,31.9
1952-1953,0,0,0,T,T,2.4,13.6,11.4,0.2,2.2,T,0,29.8
1953-1954,0,0,0,0,T,T,19.2,1.9,0.4,2.1,0,0,23.6
1954-1955,T,T,0,0,T,10.3,0.9,6.5,7,0.4,0,0,25.1
1955-1956,T,0,0,0,2.5,1.8,7.7,14.5,31.2,3.2,0,0,60.9
1956-1957,0,0,0,0,0.6,15.4,20.6,2.8,11.5,1.1,0,0,52
1957-1958,0,0,0,T,0.1,T,6.6,23.9,12,2.1,T,0,44.7
1958-1959,0,0,0,0,0.1,4.6,4.1,10.7,14.6,T,0,0,34.1
1959-1960,0,0,0,0,0.6,5.5,10.2,2.3,22.3,T,0,0,40.9
1960-1961,0,0,0,T,T,16.9,18.7,14.9,9,2,0,0,61.5
1961-1962,0,0,0,T,0.9,11.4,2.5,28.7,1.1,0.1,0,0,44.7
1962-1963,0,0,0,T,0.9,5.3,6.5,4.6,13.6,T,0,0,30.9
1963-1964,0,0,0,T,0,17.7,14.4,23.2,7.7,T,0,0,63
1964-1965,0,0,0,T,T,12.2,22.2,4.7,9.7,1.6,0,0,50.4
1965-1966,0,0,0,0,T,2.3,26.4,12.1,3.3,T,T,0,44.1
1966-1967,0,0,0,0,0,9.9,0.5,23.5,22.9,3.3,T,0,60.1
1967-1968,0,0,0,0,2.2,14.7,17.7,3.4,6.8,0,0,0,44.8
1968-1969,0,0,0,0,0.4,5.1,0.9,41.3,6.1,T,0,0,53.8
1969-1970,0,0,0,T,T,12.6,7.4,10.5,18.2,0.1,0,0,48.8
1970-1971,0,0,0,T,T,27.9,12,8.1,7.4,1.9,0,0,57.3
1971-1972,0,0,0,0,2.8,7.9,7.8,16.5,12.1,0.4,0,0,47.5
1972-1973,0,0,0,T,0.6,3.3,3.6,2.5,0.3,T,0,0,10.3
1973-1974,0,0,0,0,0,T,16,17.8,0.1,3,0,0,36.9
1974-1975,0,0,0,0,2,3.6,2.2,17,1.8,1,0,0,27.6
1975-1976,0,0,0,T,0.1,19.3,15,1.4,10.8,T,0,0,46.6
1976-1977,0,0,0,0,1,17.2,23.2,5.9,10.7,T,0.5,0,58.5
1977-1978,0,0,0,0,0.7,5.2,35.9,27.2,16.1,T,0,0,85.1
1978-1979,0,0,0,0,4.2,5.8,10.5,6.6,T,0.4,0,0,27.5
1979-1980,0,0,0,0,T,2,0.4,6.5,3.6,T,0,0,12.5
1980-1981,0,0,0,0,2.4,5.6,11.9,1.9,0.5,0,0,0,22.3
1981-1982,0,0,0,0,T,17.6,18,7.6,5.3,13.3,0,0,61.8
1982-1983,0,0,0,0,T,5.5,4.7,22.3,0.2,T,0,0,32.7
1983-1984,0,0,0,0,T,2.6,21.1,0.3,19,T,0,0,43
1984-1985,0,0,0,0,T,3.7,7,10.2,3.7,2,0,0,26.6
1985-1986,0,0,0,0,3,1.3,0.8,10.4,2.6,T,0,0,18.1
1986-1987,0,0,0,0,3.5,3.4,24.3,3.7,3.5,4.1,0,0,42.5
1987-1988,0,0,0,0,9,7.5,17,14.1,5,T,0,0,52.6
1988-1989,0,0,0,T,0,3.7,1.5,6.7,3.2,0.4,0,0,15.5
1989-1990,0,0,0,0,4.5,6.2,7,16.9,4.1,0.5,0,0,39.2
1990-1991,0,0,0,0,T,1.2,11.7,2.8,3.4,0,0,0,19.1
1991-1992,0,0,0,0,T,5.8,0.4,4,10.8,1,0,0,22
1992-1993,0,0,0,0,0.6,9.7,12.9,19.6,38.9,2.2,0,0,83.9
1993-1994,0,0,0,0,T,11.6,33.7,36.2,14.8,0,0,0,96.3
1994-1995,0,T,0,0,0.1,1.5,4.4,8.5,0.4,T,0,0,14.9
1995-1996,0,0,0,0,4.1,24.1,39.8,15.5,16.8,7.3,0,0,107.6
1996-1997,0,0,0,0,1.8,5,9.7,4.8,8.2,22.4,0,0,51.9
1997-1998,0,0,0,0,3.9,7.8,10,0.3,3.6,T,0,0,25.6
1998-1999,0,0,0,0,0,0.8,16.8,7.4,11.4,0,0,0,36.4
1999-2000,0,0,0,0,0,0,13.2,9.2,2,T,0,0,24.4
2000-2001,0,0,0,T,T,4.5,12.4,9.8,19.2,T,0,0,45.9
2001-2002,0,0,0,T,0,5,7.9,0.5,1.4,0.3,0,T,15.1
2002-2003,0,0,0,T,3.6,11.1,4.2,41.6,8.1,2.3,0,0,70.9
2003-2004,0,0,0,T,0,21.5,4.9,2.4,10.6,T,0,0,39.4
2004-2005,T,0,0,0,3.9,7.2,43.3,17.7,14.5,T,0,0,86.6
2005-2006,0,0,0,1.1,T,10.7,8.1,20,T,T,0,0,39.9
2006-2007,0,0,0,0,0,0.8,1,4.6,10.2,0.5,0,0,17.1
2007-2008,0,0,0,0,T,26.9,8.3,15,1,0,0,0,51.2
2008-2009,0,0,0,0,T,25.3,23.7,6.2,10.7,0,0,0,65.9
2009-2010,0,0,0,0.1,0,15.2,13.2,7,0.2,0,0,0,35.7
