Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1904-1905,M,M,M,M,M,M,27.1,10.9,0.4,0.1,T,0,M
1905-1906,0,0,0,0,T,3.6,4.7,9.9,15.5,1.5,0,0,35.2
1906-1907,0,0,0,0,5.2,13.1,16.4,25.8,6.6,8.6,T,0,75.7
1907-1908,0,0,0,0,0.2,13.1,6.1,18.6,2.6,T,0,0,40.6
1908-1909,0,0,0,T,2.4,9.6,9.4,1.6,8.6,0.7,0,0,32.3
1909-1910,0,0,0,0,1.9,17.5,14.6,12.2,0.2,0.2,0,0,46.6
1910-1911,0,0,0,0,3.3,5.9,0.5,14.6,6.8,4.7,0,0,35.8
1911-1912,0,0,0,0,1.1,4,15.1,0.1,10.6,T,0,0,30.9
1912-1913,0,0,0,0,0.5,7,0.8,9.3,2.1,T,0,0,19.7
1913-1914,0,0,0,T,0.7,1.5,5.7,27.8,5.9,T,0,0,41.6
1914-1915,0,0,0,T,4.5,2.5,7.4,3,1,7.5,0,0,25.9
1915-1916,0,0,0,T,T,20,1.8,24.6,27.4,3.3,0,0,77.1
1916-1917,0,0,0,0,0.6,6.8,7.9,7.4,7.2,0.4,T,0,30.3
1917-1918,0,0,0,0,0.4,13.7,13.2,5.8,7,4.5,0,0,44.6
1918-1919,0,0,0,0,T,4.2,1.1,8.5,3.4,T,0,0,17.2
1919-1920,0,0,0,0,T,2.8,15.8,24.6,10,0.1,0,0,53.3
1920-1921,0,0,0,0,T,2.6,2.3,21.2,T,T,0,0,26.1
1921-1922,0,0,0,0,T,1.4,6.6,11,5.8,1.7,0,0,26.5
1922-1923,0,0,0,0,0.5,12.1,40.1,13.1,3.8,0.2,T,0,69.8
1923-1924,0,0,0,0,T,7.1,4,2.7,4.2,9.7,0,0,27.7
1924-1925,0,0,0,0,0.9,0.5,17.3,0.1,0.2,T,0,0,19
1925-1926,0,0,0,0.1,T,3,5.2,32.7,4.6,0.1,0,0,45.7
1926-1927,0,0,0,T,0,20.7,12.7,8.6,2.1,T,0,0,44.1
1927-1928,0,0,0,0,T,T,4.8,7.8,7.9,T,0,0,20.5
1928-1929,0,0,0,T,T,0.4,10.7,9.9,3.9,1.9,0,0,26.8
1929-1930,0,0,0,0,1.3,7.4,3.1,6.5,T,T,0,0,18.3
1930-1931,0,0,0,T,T,9.5,12.9,6.1,6,T,0,0,34.5
1931-1932,0,0,0,0,1.1,1.6,2.8,9.4,2.3,0.1,0,0,17.3
1932-1933,0,0,0,T,T,8.3,5,20.7,5.3,1,0,0,40.3
1933-1934,0,0,0,0,9,14.9,0.5,31.5,9.9,0,0,0,65.8
1934-1935,0,0,0,T,T,0.3,20.1,15.3,4.2,1.2,0,0,41.1
1935-1936,0,0,0,0,4.7,0.9,15.2,12.8,5.5,T,0,0,39.1
1936-1937,0,0,0,0,2.8,0.9,4.2,0.9,5,0.9,0,0,14.7
1937-1938,0,0,0,0,1.8,2.1,23.6,7.9,1.6,3.3,0,0,40.3
1938-1939,0,0,0,0,15.6,4.4,11.8,8.6,15.2,1,0,0,56.6
1939-1940,0,0,0,0,T,9.3,7.7,16.9,5.9,1.7,0,0,41.5
1940-1941,0,0,0,T,5,4.1,10.3,1.9,18.7,0,0,0,40
1941-1942,0,0,0,0,T,1,7.1,5.7,2.3,0.5,0,0,16.6
1942-1943,0,0,0,0,T,10.2,19.6,8.5,9.6,0.1,0,0,48
1943-1944,0,0,0,0,4.6,0.4,0.7,8.9,12.2,T,0,0,26.8
1944-1945,0,0,0,0,6.6,12.9,20.1,24.3,2.9,0,0,0,66.8
1945-1946,0,0,0,0,10,45.3,10.2,13.5,0,0.9,0,0,79.9
1946-1947,0,0,0,0,0.2,5.1,6.3,18.7,2.9,0.7,0,0,33.9
1947-1948,0,0,0,0,0.4,22.9,27.6,15,11.8,T,0,0,77.7
1948-1949,0,0,0,0,1.7,13.2,16.4,13.4,15.8,0,0,0,60.5
1949-1950,0,0,0,0,3.9,12.6,3.6,18.9,5.6,4.7,0,0,49.3
1950-1951,0,0,0,0,T,7.4,12.3,6.1,11.3,0,0,0,37.1
1951-1952,0,0,0,0,0.6,9.7,16.3,16.1,4.2,0,0,0,46.9
1952-1953,0,0,0,T,0.3,2.2,16.4,6.5,T,T,0,T,25.4
1953-1954,0,0,0,0,4.3,0.1,17.1,1.1,T,0.3,0,0,22.9
1954-1955,0,0,0,0,0,2,1.2,5.3,11.3,3.6,0,T,23.4
