Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1892-1893,M,M,M,M,M,M,M,M,M,7.5,M,M,M
1893-1894,M,M,M,M,M,20.6,17.8,25.5,M,21.5,M,M,M
1894-1895,M,M,M,M,14,M,16,8,7,1,M,M,M
1895-1896,M,0,M,T,1,M,13,15,23,1.5,M,M,M
1896-1897,M,M,M,M,6,14,18.5,12.5,M,1,M,M,M
1897-1898,M,M,M,M,9,5,27,14,13,6,M,M,M
1898-1899,M,M,M,M,23,5,11,36,21,1,M,M,M
1899-1900,M,M,M,M,1,T,10,12,10,M,T,M,M
1900-1901,M,M,M,M,T,2.7,9.6,9.1,0.9,M,M,M,M
1901-1902,M,M,M,M,3.6,8.2,11.4,22.5,11,M,M,M,M
1902-1903,M,M,M,T,0,32,10,19,0.2,0,M,M,M
1903-1904,M,M,M,M,3.8,14,48,20.7,11.9,5,M,M,M
1904-1905,M,M,M,0,2.2,M,28.6,11,6.3,T,T,M,M
1905-1906,M,M,M,M,T,6.2,7.8,5.1,26,1,M,M,M
1906-1907,M,M,M,T,5,14,21.5,31.8,12.6,15.4,M,M,M
1907-1908,M,M,M,M,M,17.5,10.3,12.9,8.5,1.2,T,M,M
1908-1909,M,M,M,M,T,4.4,15,5.3,6.8,0.4,M,M,M
1909-1910,M,M,M,M,3.1,19.8,18.2,18.2,0.6,T,T,M,M
1910-1911,M,M,M,M,2,10.2,1,23.3,4.6,10.1,M,M,M
1911-1912,M,M,M,M,0.4,5.5,28.5,1.3,10.9,0.9,M,M,M
1912-1913,M,M,M,M,1,10.1,2.3,10.4,2,3,M,M,M
1913-1914,M,M,M,2,2,2.6,10.9,25.6,11.8,3.5,M,M,M
1914-1915,M,M,M,T,T,9.1,13,7,0.6,10,M,M,M
1915-1916,M,M,M,M,1,12.3,6.4,33.4,42.2,16.2,M,M,M
1916-1917,M,M,M,M,1.1,10.9,14.9,11.7,20.5,12.2,3,M,M
1917-1918,M,M,M,M,3,13,17.6,7.7,17,9,M,M,M
1918-1919,M,M,M,M,0.1,10.1,3.7,8.3,2.9,T,M,M,M
1919-1920,M,M,M,M,1.4,4.5,27.1,40.4,10.6,1.2,0.1,M,M
1920-1921,M,M,M,M,5,6.4,10.3,27.4,T,1.1,M,M,M
1921-1922,M,M,M,M,1.5,6.2,6.4,23,12.8,4,M,M,M
1922-1923,M,M,M,M,1.6,23.3,44.5,21.2,11,0.9,M,M,M
1923-1924,M,M,M,M,0.3,6.5,10,14.7,15.1,7,M,M,M
1924-1925,M,M,M,M,1.3,0.9,28,1,1.2,3.3,M,M,M
