Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1903-1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1904-1905,M,M,M,M,2.5,17.4,13.6,6.1,1.2,T,0,0,M
1905-1906,0,0,0,0,T,3.6,8.4,3.8,16.9,0.6,0,0,33.3
1906-1907,0,0,0,0,1.9,9,15.3,26.2,9.4,9.6,T,0,71.4
1907-1908,0,0,0,0,T,10.9,7.4,9.8,6,T,0,0,34.1
1908-1909,0,0,0,0,T,2.1,10.4,3.2,3.5,1,0,0,20.2
1909-1910,0,0,0,0,T,10.3,15.7,10.6,0.5,0,0,0,37.1
1910-1911,0,0,0,0,0.8,8.5,0.4,14,4.6,4.9,0,0,33.2
1911-1912,0,0,0,0,T,3.2,22.9,0.6,9.5,T,0,0,36.2
1912-1913,0,0,0,0,2.2,7,1.6,5,0.2,T,0,0,16
1913-1914,0,0,0,0,0.4,0.2,3.6,20.4,5.1,T,0,0,29.7
1914-1915,0,0,0,0,T,1.5,8.8,0.8,0.1,4.6,0,0,15.8
1915-1916,0,0,0,0,0.3,3.5,0.8,15.1,19.1,4.7,0,0,43.5
1916-1917,0,0,0,0,2.5,9.2,10,6.3,9.6,8.8,T,0,46.4
1917-1918,0,0,0,0,2.6,5.7,7,4.8,5.8,1.1,0,0,27
1918-1919,0,0,0,0,T,5.5,2,5.2,1,T,0,0,13.7
1919-1920,0,0,0,0,T,4.6,17.2,22.8,4.3,T,0,0,48.9
1920-1921,0,0,0,0,0.7,3,1.6,17.4,T,T,0,0,22.7
1921-1922,0,0,0,0,0.5,2.4,2.7,13.9,10.5,0.4,0,0,30.4
1922-1923,0,0,0,0,0.5,10.9,25.4,16.3,2.6,0,0,0,55.7
1923-1924,0,0,0,0,T,6.1,5,7.4,10.4,3,0,0,31.9
1924-1925,0,0,0,0,T,0.6,16.2,0.2,0.6,T,0,0,17.6
1925-1926,0,0,0,T,T,1.5,4.8,15.8,2.4,0.6,0,0,25.1
1926-1927,0,0,0,0,0,16.5,10.6,6.8,0.1,T,0,0,34
1927-1928,0,0,0,0,T,0,2.7,5.5,9.7,T,0,0,17.9
1928-1929,0,0,0,0,T,1,8.4,12.2,5.2,0.7,0,0,27.5
1929-1930,0,0,0,0,0.9,8.5,6.6,7.5,T,T,0,0,23.5
1930-1931,0,0,0,0,0.1,6.5,12,4.6,10.2,T,0,0,33.4
1931-1932,0,0,0,0,0.3,0.3,6.9,7.8,1.3,T,0,0,16.6
1932-1933,0,0,0,0,0,5.5,0.1,15.4,6.9,0.6,0,0,28.5
1933-1934,0,0,0,0,7.4,12.7,0.1,22.9,7.3,0,0,0,50.4
1934-1935,0,0,0,T,T,0.8,24.4,9,0.6,0.7,0,0,35.5
1935-1936,0,0,0,0,6,2.5,12,7.9,3.2,T,0,0,31.6
1936-1937,0,0,0,0,3.7,T,3.5,0.5,4.1,T,0,0,11.8
1937-1938,0,0,0,0,T,2.9,19.7,11.6,0.8,1.1,0,0,36.1
1938-1939,0,0,0,0,8.4,2.7,7.3,5,16.5,T,0,0,39.9
1939-1940,0,0,0,0,T,6.5,4.2,17.1,3,0.2,0,0,31
1940-1941,0,0,0,0,6.5,2.9,14.9,1.2,19.5,0,0,0,45
1941-1942,0,0,0,0,0,T,13.6,8.1,1.6,1,0,0,24.3
1942-1943,0,0,0,0,T,9.1,24.5,3.2,10.1,0.4,0,0,47.3
1943-1944,0,0,0,0,T,T,0.3,7.2,8.9,T,0,0,16.4
1944-1945,0,0,0,0,0.6,10.7,20.1,23.9,1.4,0,0,0,56.7
1945-1946,0,0,0,0,10.2,26.7,4.5,11.5,0.6,0.1,0,0,53.6
1946-1947,0,0,0,0,0,3.4,5.1,12.3,1.5,0.4,0,0,22.7
1947-1948,0,0,0,0,0.2,22.4,31.7,11.2,7.4,T,0,0,72.9
1948-1949,0,0,0,0,T,14.8,8.9,11.8,9.9,T,0,0,45.4
1949-1950,0,0,0,0,2.1,2.1,2.3,11.7,4.7,0.6,0,0,23.5
1950-1951,0,0,0,0,T,3.1,7.9,8.6,2.9,T,0,0,22.5
1951-1952,0,0,0,0,T,4.7,9.5,14.7,3.4,0,0,0,32.3
1952-1953,0,0,0,T,T,5,10.3,9.4,T,2.3,0.1,0,27.1
1953-1954,0,0,0,0,T,0.2,17,0.2,T,0.6,0,0,18
1954-1955,0,0,0,0,0,9.2,1.1,7,4.5,T,0,T,21.8
1955-1956,T,0,0,0,3.6,2.2,10,7.3,31.6,1.4,0,0,56.1
1956-1957,0,0,0,0,T,6.1,14.8,3.5,10.5,2.1,0,0,37
1957-1958,0,0,0,T,2,0.3,7.5,11,14.4,3.7,0,0,38.9
1958-1959,0,0,0,0,T,7.5,2.2,5.2,11,T,0,0,25.9
1959-1960,0,0,0,0,T,5.1,9.9,1.6,21.6,T,0,0,38.2
1960-1961,0,0,0,T,T,14.1,17.4,18.7,12.2,0.3,0,0,62.7
1961-1962,0,0,0,T,1.7,9.2,4.9,30.9,T,0.3,0,0,47
1962-1963,0,0,0,1.6,1.7,6.6,5.3,5.2,9.4,T,0,0,29.8
1963-1964,0,0,0,T,T,19.8,12.5,14.8,2.5,T,0,0,49.6
1964-1965,T,0,0,0,T,6.9,28.7,2.7,6.6,T,0,0,44.9
1965-1966,0,0,0,0,T,1.9,16.1,9.1,8.1,T,0,0,35.2
1966-1967,0,0,0,0,T,7.2,1.3,23.1,24.9,1.6,0,0,58.1
1967-1968,0,0,0,0,0.8,19,13.5,4.6,5.1,0,0,0,43
1968-1969,0,0,0,0,0.1,2.7,0.5,26.7,6,0,0,0,36
1969-1970,0,0,0,0,T,15.4,6.5,6.8,15.7,1.1,0,0,45.5
1970-1971,0,0,0,T,0,17.8,11,5,6.1,1.9,0,0,41.8
1971-1972,0,0,0,0,T,4.7,2.2,13.7,8.7,0.7,0,0,30
1972-1973,0,0,0,0.7,0.3,4.1,2,3.2,0.6,0.4,0,0,11.3
1973-1974,0,0,0,0,T,T,15.1,11.1,0.4,1.3,0,0,27.9
1974-1975,0,0,0,0,0.3,2.1,2,18.2,2.2,0.2,0,0,25
1975-1976,0,0,0,T,1.2,7.5,15.6,3.7,9.5,0,0,0,37.5
1976-1977,0,0,0,0,T,9.8,14,11.4,4.4,T,7,0,46.6
1977-1978,0,0,0,0,1.3,3.9,20.5,28.6,15.9,T,0,0,70.2
1978-1979,0,0,0,0,2.3,2.4,6,5.5,T,1.1,0,0,17.3
1979-1980,0,0,0,0,0,T,0.6,3.8,5.3,0,0,0,9.7
1980-1981,0,0,0,0,4.1,3.6,12.9,0.6,0.3,0,0,0,21.5
1981-1982,0,0,0,T,T,16.4,13.4,4.3,5.7,7.6,0,0,47.4
1982-1983,0,0,0,0,0,7.3,3.8,21.3,T,T,0,0,32.4
1983-1984,0,0,0,0,T,4.5,17.9,T,13.7,T,0,0,36.1
1984-1985,0,0,0,0,T,2,9.8,10,0.6,T,0,0,22.4
1985-1986,0,0,0,0,1.8,2.6,0.7,13,0.5,T,0,0,18.6
1986-1987,0,0,0,0,4.4,8,21.5,4.7,1.6,1.1,0,0,41.3
1987-1988,0,0,0,0,8,7.8,13.5,6.7,2.7,T,0,0,38.7
1988-1989,0,0,0,0,T,1.2,0.2,7.3,1.9,0.3,0,0,10.9
1989-1990,0,0,0,0,8,15.8,10.8,10.5,9.3,1.8,0,0,56.2
1990-1991,0,0,0,0,T,6.9,6.4,6,5.3,0,0,0,24.6
1991-1992,0,0,0,0,T,4.8,2.4,4.9,8.2,2,0,0,22.3
1992-1993,0,0,0,T,T,3.6,5.4,12.7,17.8,0.2,0,0,39.7
1993-1994,0,0,0,0,T,10.1,18,25.8,9.6,0,T,0,63.5
1994-1995,0,0,0,0,0.7,0.3,3,8.4,T,0.1,0,0,12.5
1995-1996,0,0,0,0,3.1,M,M,M,M,M,M,M,M
1996-1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1997-1998,M,M,M,M,0.2,M,1.6,0.1,0.3,T,M,M,M
1998-1999,M,M,M,M,M,M,6.5,2.1,12.2,T,M,M,M
1999-2000,M,M,M,M,M,M,6.9,6.8,2.6,M,M,M,M
2000-2001,M,M,M,M,M,M,9.7,10.8,10.3,T,0,0,M
2001-2002,0,0,0,0,0,1.5,5.6,0.6,2.5,T,0,0,10.2
2002-2003,0,0,0,0,5.8,12,3.9,24.7,7.8,2.1,0,0,56.3
2003-2004,0,0,0,T,0,20.4,11,3.1,6.5,T,0,0,41
2004-2005,0,0,0,0,3.8,7.9,36.7,13.9,9.9,0,0,0,72.2
2005-2006,0,0,0,T,2,8.8,6.9,9.8,6.2,0.2,0,0,33.9
2006-2007,0,0,0,0,0,0.8,1.2,7.3,5.8,T,0,T,15.1
2007-2008,0,0,0,0,T,14.4,2.7,6.2,1.2,0,0,0,24.5
2008-2009,0,0,0,0,T,20.6,14.9,3.9,11.6,0,0,0,51
2009-2010,0,0,0,0,0,21.7,4.3,4.9,0.6,T,0,0,31.5
2010-2011,0,0,0,0,0.1,10.2,30.7,8.5,3.7,T,0,0,53.2
2011-2012,0,0,0,2.3,T,T,10.7,4.6,0.2,0,0,0,17.8
2012-2013,0,0,0,0,1.3,9.3,6.5,24.3,4.9,0,0,0,46.3
2013-2014,0,0,0,0,0.1,7,15,20,1.2,0.3,0,0,43.6
2014-2015,0,0,0,0,1.6,0.9,25.6,31.8,16.3,T,0,0,76.2
