Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1891-1892,M,M,M,M,M,M,M,M,M,M,0,M,M
1892-1893,M,M,M,M,M,M,M,45,4,8,M,M,M
1893-1894,M,M,M,M,1,12,17,27,2,20,M,M,M
1894-1895,M,M,M,M,M,M,14,8,10,1,M,M,M
1895-1896,M,M,M,M,T,7,8,14,18,T,M,M,M
1896-1897,M,M,M,M,1,9,14,14,5,T,M,M,M
1897-1898,M,M,M,M,8,9,21,18,6,5,M,M,M
1898-1899,M,M,0,0,M,M,M,42.5,17.3,2.5,0,0,M
1899-1900,0,M,M,T,1,T,9,6,9,T,M,M,M
1900-1901,M,M,M,M,M,3,11,9,2,T,M,M,M
1901-1902,M,M,M,M,2,12,8,17.3,10.5,T,M,M,M
1902-1903,M,M,M,T,1,32,6,15,T,T,M,M,M
1903-1904,M,M,M,T,0.5,14.8,35.8,8.9,11.2,2.4,0,0,M
1904-1905,0,0,0,T,4.6,14.3,26.8,11.4,5.2,T,0,0,62.3
1905-1906,0,0,0,0,T,9.6,5.9,8.5,23.2,2.3,0,0,49.5
1906-1907,0,0,0,T,6.6,11,20.8,21.1,3.7,11.8,T,0,75
1907-1908,0,0,0,T,3.1,11.5,7.3,22.1,5.9,T,0,0,49.9
1908-1909,0,0,0,0,T,8.7,13.7,6.9,3.5,T,0,0,32.8
1909-1910,0,0,0,T,3.2,16.9,16.1,24,T,0,T,0,60.2
1910-1911,0,0,0,0,5.5,10,0.9,16.9,12.1,9.2,T,0,54.6
1911-1912,0,0,0,T,M,7.1,20.1,1,9.1,T,0,0,M
1912-1913,0,0,0,0,1.2,9.3,1.1,9.6,2,T,0,0,23.2
1913-1914,0,0,0,0,7.7,6.7,10.1,26.8,10.1,1.1,0,0,62.5
1914-1915,0,0,0,T,5.4,8.4,15,5.3,0.6,6.2,0,0,40.9
1915-1916,0,0,0,0,T,15.8,6.2,24.9,36,5.6,0,0,88.5
1916-1917,0,0,0,0,1.5,11.9,15.8,21.8,14.4,2.4,0,0,67.8
1917-1918,0,0,0,0,2.1,15.7,25.2,M,13.9,6.5,0,0,M
1918-1919,0,0,0,0,T,11.4,5,11.4,5.2,T,0,0,33
1919-1920,0,0,0,0,T,7.7,29.9,38.1,12.3,2.1,0,0,90.1
1920-1921,0,0,0,0,1.1,5.4,7.5,18.6,T,T,0,0,32.6
1921-1922,0,0,0,0,7.9,4.6,10.3,20.7,11.5,4,0,0,59
1922-1923,0,0,0,0,0.6,24.7,40,13.8,11.1,0,0,0,90.2
1923-1924,0,0,0,0,T,8,11.9,19.1,17.2,9.3,0,0,65.5
1924-1925,0,0,0,0,10.9,1.1,22.2,0.7,1.4,5.5,0,0,41.8
1925-1926,0,0,0,2,0.3,6.4,11.9,34.2,10.8,2.4,0,0,68
1926-1927,T,0,0,0.8,0.2,20.8,11.7,27,0.5,T,T,0,M
1927-1928,0,0,0,0,0.1,2.1,12.2,10.8,7.6,2.6,0,0,35.4
1928-1929,0,0,0,T,4.9,1.3,18.5,13.4,6.5,8.6,0,0,53.2
1929-1930,0,0,0,T,2.6,8.6,7,13.2,T,T,0,T,M
1930-1931,0,0,0,T,T,18.7,16.4,14,13.9,2.3,T,0,65.3
1931-1932,0,0,0,T,0.6,3.3,15,25.3,11.1,T,0,0,55.3
1932-1933,0,T,0,T,T,12.1,6.8,23.8,21.4,11.8,0,0,75.9
1933-1934,0,0,T,0,10,15.4,3.8,32.3,8.8,T,0,0,70.3
1934-1935,T,0,0,1.3,0.7,7.2,32.7,18.6,4.9,11.5,T,0,M
1935-1936,0,0,0,0,7.1,1.8,20.4,13.6,10.8,0.7,0,0,54.4
1936-1937,T,0,0,0,3.9,1.8,6.9,T,8.2,3.8,0,0,24.6
1937-1938,0,0,0,0,2.9,6.2,26.2,8.7,1.9,1.2,0,0,47.1
1938-1939,0,0,0,T,11.7,5.7,8.1,8.9,17,0.4,T,0,51.8
1939-1940,0,T,0,0,0.1,8.9,9,26.8,3.8,4.3,0,T,52.9
1940-1941,0,T,0,T,12.2,4.7,25.4,2,19.1,0,0,0,63.4
1941-1942,0,0,0,0,T,1.5,7.4,9.2,11,6.4,T,0,M
1942-1943,0,0,0,0,0.6,11.1,25.1,5.5,12.3,1.7,0,T,56.3
1943-1944,0,0,0,0,5.4,0.5,4,7.3,13.9,0.2,0,0,31.3
