,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1903-1904,M,M,M,M,M,M,M,M,M,M,2.5,17.4
1,1904-1905,13.6,6.1,1.2,T,0,0,0,0,0,0,T,3.6
2,1905-1906,8.4,3.8,16.9,0.6,0,0,0,0,0,0,1.9,9
3,1906-1907,15.3,26.2,9.4,9.6,T,0,0,0,0,0,T,10.9
4,1907-1908,7.4,9.8,6,T,0,0,0,0,0,0,T,2.1
5,1908-1909,10.4,3.2,3.5,1,0,0,0,0,0,0,T,10.3
6,1909-1910,15.7,10.6,0.5,0,0,0,0,0,0,0,0.8,8.5
7,1910-1911,0.4,14,4.6,4.9,0,0,0,0,0,0,T,3.2
8,1911-1912,22.9,0.6,9.5,T,0,0,0,0,0,0,2.2,7
9,1912-1913,1.6,5,0.2,T,0,0,0,0,0,0,0.4,0.2
10,1913-1914,3.6,20.4,5.1,T,0,0,0,0,0,0,T,1.5
11,1914-1915,8.8,0.8,0.1,4.6,0,0,0,0,0,0,0.3,3.5
12,1915-1916,0.8,15.1,19.1,4.7,0,0,0,0,0,0,2.5,9.2
13,1916-1917,10,6.3,9.6,8.8,T,0,0,0,0,0,2.6,5.7
14,1917-1918,7,4.8,5.8,1.1,0,0,0,0,0,0,T,5.5
15,1918-1919,2,5.2,1,T,0,0,0,0,0,0,T,4.6
16,1919-1920,17.2,22.8,4.3,T,0,0,0,0,0,0,0.7,3
17,1920-1921,1.6,17.4,T,T,0,0,0,0,0,0,0.5,2.4
18,1921-1922,2.7,13.9,10.5,0.4,0,0,0,0,0,0,0.5,10.9
19,1922-1923,25.4,16.3,2.6,0,0,0,0,0,0,0,T,6.1
20,1923-1924,5,7.4,10.4,3,0,0,0,0,0,0,T,0.6
21,1924-1925,16.2,0.2,0.6,T,0,0,0,0,0,T,T,1.5
22,1925-1926,4.8,15.8,2.4,0.6,0,0,0,0,0,0,0,16.5
23,1926-1927,10.6,6.8,0.1,T,0,0,0,0,0,0,T,0
24,1927-1928,2.7,5.5,9.7,T,0,0,0,0,0,0,T,1
25,1928-1929,8.4,12.2,5.2,0.7,0,0,0,0,0,0,0.9,8.5
26,1929-1930,6.6,7.5,T,T,0,0,0,0,0,0,0.1,6.5
27,1930-1931,12,4.6,10.2,T,0,0,0,0,0,0,0.3,0.3
28,1931-1932,6.9,7.8,1.3,T,0,0,0,0,0,0,0,5.5
29,1932-1933,0.1,15.4,6.9,0.6,0,0,0,0,0,0,7.4,12.7
30,1933-1934,0.1,22.9,7.3,0,0,0,0,0,0,T,T,0.8
31,1934-1935,24.4,9,0.6,0.7,0,0,0,0,0,0,6,2.5
32,1935-1936,12,7.9,3.2,T,0,0,0,0,0,0,3.7,T
33,1936-1937,3.5,0.5,4.1,T,0,0,0,0,0,0,T,2.9
34,1937-1938,19.7,11.6,0.8,1.1,0,0,0,0,0,0,8.4,2.7
35,1938-1939,7.3,5,16.5,T,0,0,0,0,0,0,T,6.5
36,1939-1940,4.2,17.1,3,0.2,0,0,0,0,0,0,6.5,2.9
37,1940-1941,14.9,1.2,19.5,0,0,0,0,0,0,0,0,T
38,1941-1942,13.6,8.1,1.6,1,0,0,0,0,0,0,T,9.1
39,1942-1943,24.5,3.2,10.1,0.4,0,0,0,0,0,0,T,T
40,1943-1944,0.3,7.2,8.9,T,0,0,0,0,0,0,0.6,10.7
41,1944-1945,20.1,23.9,1.4,0,0,0,0,0,0,0,10.2,26.7
42,1945-1946,4.5,11.5,0.6,0.1,0,0,0,0,0,0,0,3.4
43,1946-1947,5.1,12.3,1.5,0.4,0,0,0,0,0,0,0.2,22.4
44,1947-1948,31.7,11.2,7.4,T,0,0,0,0,0,0,T,14.8
45,1948-1949,8.9,11.8,9.9,T,0,0,0,0,0,0,2.1,2.1
46,1949-1950,2.3,11.7,4.7,0.6,0,0,0,0,0,0,T,3.1
47,1950-1951,7.9,8.6,2.9,T,0,0,0,0,0,0,T,4.7
48,1951-1952,9.5,14.7,3.4,0,0,0,0,0,0,T,T,5
49,1952-1953,10.3,9.4,T,2.3,0.1,0,0,0,0,0,T,0.2
50,1953-1954,17,0.2,T,0.6,0,0,0,0,0,0,0,9.2
51,1954-1955,1.1,7,4.5,T,0,T,T,0,0,0,3.6,2.2
52,1955-1956,10,7.3,31.6,1.4,0,0,0,0,0,0,T,6.1
53,1956-1957,14.8,3.5,10.5,2.1,0,0,0,0,0,T,2,0.3
54,1957-1958,7.5,11,14.4,3.7,0,0,0,0,0,0,T,7.5
55,1958-1959,2.2,5.2,11,T,0,0,0,0,0,0,T,5.1
56,1959-1960,9.9,1.6,21.6,T,0,0,0,0,0,T,T,14.1
57,1960-1961,17.4,18.7,12.2,0.3,0,0,0,0,0,T,1.7,9.2
58,1961-1962,4.9,30.9,T,0.3,0,0,0,0,0,1.6,1.7,6.6
59,1962-1963,5.3,5.2,9.4,T,0,0,0,0,0,T,T,19.8
60,1963-1964,12.5,14.8,2.5,T,0,0,T,0,0,0,T,6.9
61,1964-1965,28.7,2.7,6.6,T,0,0,0,0,0,0,T,1.9
62,1965-1966,16.1,9.1,8.1,T,0,0,0,0,0,0,T,7.2
63,1966-1967,1.3,23.1,24.9,1.6,0,0,0,0,0,0,0.8,19
64,1967-1968,13.5,4.6,5.1,0,0,0,0,0,0,0,0.1,2.7
65,1968-1969,0.5,26.7,6,0,0,0,0,0,0,0,T,15.4
66,1969-1970,6.5,6.8,15.7,1.1,0,0,0,0,0,T,0,17.8
67,1970-1971,11,5,6.1,1.9,0,0,0,0,0,0,T,4.7
68,1971-1972,2.2,13.7,8.7,0.7,0,0,0,0,0,0.7,0.3,4.1
69,1972-1973,2,3.2,0.6,0.4,0,0,0,0,0,0,T,T
70,1973-1974,15.1,11.1,0.4,1.3,0,0,0,0,0,0,0.3,2.1
71,1974-1975,2,18.2,2.2,0.2,0,0,0,0,0,T,1.2,7.5
72,1975-1976,15.6,3.7,9.5,0,0,0,0,0,0,0,T,9.8
73,1976-1977,14,11.4,4.4,T,7,0,0,0,0,0,1.3,3.9
74,1977-1978,20.5,28.6,15.9,T,0,0,0,0,0,0,2.3,2.4
75,1978-1979,6,5.5,T,1.1,0,0,0,0,0,0,0,T
76,1979-1980,0.6,3.8,5.3,0,0,0,0,0,0,0,4.1,3.6
77,1980-1981,12.9,0.6,0.3,0,0,0,0,0,0,T,T,16.4
78,1981-1982,13.4,4.3,5.7,7.6,0,0,0,0,0,0,0,7.3
79,1982-1983,3.8,21.3,T,T,0,0,0,0,0,0,T,4.5
80,1983-1984,17.9,T,13.7,T,0,0,0,0,0,0,T,2
81,1984-1985,9.8,10,0.6,T,0,0,0,0,0,0,1.8,2.6
82,1985-1986,0.7,13,0.5,T,0,0,0,0,0,0,4.4,8
83,1986-1987,21.5,4.7,1.6,1.1,0,0,0,0,0,0,8,7.8
84,1987-1988,13.5,6.7,2.7,T,0,0,0,0,0,0,T,1.2
85,1988-1989,0.2,7.3,1.9,0.3,0,0,0,0,0,0,8,15.8
86,1989-1990,10.8,10.5,9.3,1.8,0,0,0,0,0,0,T,6.9
87,1990-1991,6.4,6,5.3,0,0,0,0,0,0,0,T,4.8
88,1991-1992,2.4,4.9,8.2,2,0,0,0,0,0,T,T,3.6
89,1992-1993,5.4,12.7,17.8,0.2,0,0,0,0,0,0,T,10.1
90,1993-1994,18,25.8,9.6,0,T,0,0,0,0,0,0.7,0.3
91,1994-1995,3,8.4,T,0.1,0,0,0,0,0,0,3.1,M
92,1995-1996,M,M,M,M,M,M,M,M,M,M,M,M
93,1996-1997,M,M,M,M,M,M,M,M,M,M,0.2,M
94,1997-1998,1.6,0.1,0.3,T,M,M,M,M,M,M,M,M
95,1998-1999,6.5,2.1,12.2,T,M,M,M,M,M,M,M,M
96,1999-2000,6.9,6.8,2.6,M,M,M,M,M,M,M,M,M
97,2000-2001,9.7,10.8,10.3,T,0,0,0,0,0,0,0,1.5
98,2001-2002,5.6,0.6,2.5,T,0,0,0,0,0,0,5.8,12
99,2002-2003,3.9,24.7,7.8,2.1,0,0,0,0,0,T,0,20.4
100,2003-2004,11,3.1,6.5,T,0,0,0,0,0,0,3.8,7.9
101,2004-2005,36.7,13.9,9.9,0,0,0,0,0,0,T,2,8.8
102,2005-2006,6.9,9.8,6.2,0.2,0,0,0,0,0,0,0,0.8
103,2006-2007,1.2,7.3,5.8,T,0,T,0,0,0,0,T,14.4
104,2007-2008,2.7,6.2,1.2,0,0,0,0,0,0,0,T,20.6
105,2008-2009,14.9,3.9,11.6,0,0,0,0,0,0,0,0,21.7
106,2009-2010,4.3,4.9,0.6,T,0,0,0,0,0,0,0.1,10.2
107,2010-2011,30.7,8.5,3.7,T,0,0,0,0,0,2.3,T,T
108,2011-2012,10.7,4.6,0.2,0,0,0,0,0,0,0,1.3,9.3
109,2012-2013,6.5,24.3,4.9,0,0,0,0,0,0,0,0.1,7
110,2013-2014,15,20,1.2,0.3,0,0,0,0,0,0,1.6,0.9
111,2014-2015,25.6,31.8,16.3,T,0,0,0,0,0,0,0,0.6
112,2015-2016,7.3,11.5,2.6,6.7,0,0,0,0,0,0,T,4.4
