,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1891-1892,M,M,M,M,0,M,M,M,M,M,M,M
1,1892-1893,M,45,4,8,M,M,M,M,M,M,1,12
2,1893-1894,17,27,2,20,M,M,M,M,M,M,M,M
3,1894-1895,14,8,10,1,M,M,M,M,M,M,T,7
4,1895-1896,8,14,18,T,M,M,M,M,M,M,1,9
5,1896-1897,14,14,5,T,M,M,M,M,M,M,8,9
6,1897-1898,21,18,6,5,M,M,M,M,0,0,M,M
7,1898-1899,M,42.5,17.3,2.5,0,0,0,M,M,T,1,T
8,1899-1900,9,6,9,T,M,M,M,M,M,M,M,3
9,1900-1901,11,9,2,T,M,M,M,M,M,M,2,12
10,1901-1902,8,17.3,10.5,T,M,M,M,M,M,T,1,32
11,1902-1903,6,15,T,T,M,M,M,M,M,T,0.5,14.8
12,1903-1904,35.8,8.9,11.2,2.4,0,0,0,0,0,T,4.6,14.3
13,1904-1905,26.8,11.4,5.2,T,0,0,0,0,0,0,T,9.6
14,1905-1906,5.9,8.5,23.2,2.3,0,0,0,0,0,T,6.6,11
15,1906-1907,20.8,21.1,3.7,11.8,T,0,0,0,0,T,3.1,11.5
16,1907-1908,7.3,22.1,5.9,T,0,0,0,0,0,0,T,8.7
17,1908-1909,13.7,6.9,3.5,T,0,0,0,0,0,T,3.2,16.9
18,1909-1910,16.1,24,T,0,T,0,0,0,0,0,5.5,10
19,1910-1911,0.9,16.9,12.1,9.2,T,0,0,0,0,T,M,7.1
20,1911-1912,20.1,1,9.1,T,0,0,0,0,0,0,1.2,9.3
21,1912-1913,1.1,9.6,2,T,0,0,0,0,0,0,7.7,6.7
22,1913-1914,10.1,26.8,10.1,1.1,0,0,0,0,0,T,5.4,8.4
23,1914-1915,15,5.3,0.6,6.2,0,0,0,0,0,0,T,15.8
24,1915-1916,6.2,24.9,36,5.6,0,0,0,0,0,0,1.5,11.9
25,1916-1917,15.8,21.8,14.4,2.4,0,0,0,0,0,0,2.1,15.7
26,1917-1918,25.2,M,13.9,6.5,0,0,0,0,0,0,T,11.4
27,1918-1919,5,11.4,5.2,T,0,0,0,0,0,0,T,7.7
28,1919-1920,29.9,38.1,12.3,2.1,0,0,0,0,0,0,1.1,5.4
29,1920-1921,7.5,18.6,T,T,0,0,0,0,0,0,7.9,4.6
30,1921-1922,10.3,20.7,11.5,4,0,0,0,0,0,0,0.6,24.7
31,1922-1923,40,13.8,11.1,0,0,0,0,0,0,0,T,8
32,1923-1924,11.9,19.1,17.2,9.3,0,0,0,0,0,0,10.9,1.1
33,1924-1925,22.2,0.7,1.4,5.5,0,0,0,0,0,2,0.3,6.4
34,1925-1926,11.9,34.2,10.8,2.4,0,0,T,0,0,0.8,0.2,20.8
35,1926-1927,11.7,27,0.5,T,T,0,0,0,0,0,0.1,2.1
36,1927-1928,12.2,10.8,7.6,2.6,0,0,0,0,0,T,4.9,1.3
37,1928-1929,18.5,13.4,6.5,8.6,0,0,0,0,0,T,2.6,8.6
38,1929-1930,7,13.2,T,T,0,T,0,0,0,T,T,18.7
39,1930-1931,16.4,14,13.9,2.3,T,0,0,0,0,T,0.6,3.3
40,1931-1932,15,25.3,11.1,T,0,0,0,T,0,T,T,12.1
41,1932-1933,6.8,23.8,21.4,11.8,0,0,0,0,T,0,10,15.4
42,1933-1934,3.8,32.3,8.8,T,0,0,T,0,0,1.3,0.7,7.2
