Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1872,M,M,26.5,46.6,59.3,68.9,75.7,73,64.4,51.9,40.6,23.1,53
1873,25.1,26.4,33.9,44.9,56.5,67.3,72.9,69.8,62.8,53.5,33.3,32.1,48.2
1874,30.5,27,34.4,38.8,55.5,66.1,72.9,68.1,64.4,53.2,41.6,31.3,48.6
1875,20.1,22.3,31.3,42.5,57.9,66.7,72.1,71,59.6,50.1,34.9,29.6,46.5
1876,30.7,27.5,33.5,43.9,54.6,68.9,74,70.3,59.9,48.3,41.4,22.2,47.9
1877,24.8,34.3,34.9,44.2,55.1,66.8,71.1,72.2,65.3,52,44.2,36.3,50.1
1878,27.9,30.5,39.6,48.1,56.5,64.6,73.7,69.7,64.2,56.1,40.8,30.3,50.2
1879,24.2,24.6,33.6,42.3,60.2,64.8,70.8,69.3,61.9,57.6,38.7,32.5,48.4
1880,34.6,31.8,33.2,46.4,63.7,68.6,71.7,70.7,65.2,52.2,38.2,26.7,50.3
1881,22,27.9,37.1,43.6,56.6,61.7,70.2,71.3,67.5,54.5,43.5,39,49.6
1882,26,30.4,36,42.9,50.5,66.8,73.2,71.5,64,55.4,39.3,30.5,48.9
1883,24.3,28.8,30.7,45.3,56.6,70.1,71.7,68.3,59.8,47.7,42.8,29,47.9
1884,24.1,31.1,34.1,43.8,54.9,67.3,68.7,69.7,66.9,52.7,41.4,33.7,49
1885,27.4,20.6,27.6,47.2,53.2,66.8,71.8,67.8,60.1,51.6,43.9,32.7,47.6
1886,25.7,26.7,33.3,48.6,56.7,63.2,71.2,68.2,63.1,51.9,43.2,28.4,48.3
1887,25.1,28.7,31.5,44.2,59.7,65.2,74.5,67.6,59.8,51.5,42.2,32.3,48.5
1888,20.1,28.3,32.2,42.6,53.1,66.8,68.8,70.1,59.8,47.7,43.9,34.6,47.3
1889,35.7,26,38.2,47.9,60.2,69.1,69.4,67.3,62.8,48.5,44.7,38,50.7
1890,32.3,33.3,34.9,46.3,57,64.2,71,68.9,62.9,51,41.8,26,49.1
1891,31.1,31.9,33.7,48,55.8,65,69,70,66.7,51.5,41.4,40.5,50.4
1892,28.3,28.4,32.9,48.3,55.9,69.6,73,70.2,62.5,52.7,41.2,29.9,49.4
1893,19.7,26.5,34,M,56.2,64.3,71.5,69.6,60,55.1,41.7,M,49.9
1894,30.1,26.8,41.6,46.4,57.9,68.6,73.7,68,64.9,54,38.6,M,51.9
1895,29.1,25.4,34.6,46,60.4,66.6,69.3,71,65.8,49.6,45.6,35.1,49.9
1896,24.5,28.6,31.9,47.2,60.3,66.1,71.8,70.7,62.2,50.2,46.5,30.4,49.2
1897,28.5,30.9,36.9,49,57.7,62.2,71.6,69.6,63.1,54.4,41.5,34,49.9
1898,28.7,32.8,42.9,43.8,55.9,65.8,71.8,73.1,66.2,54.2,42,31.9,50.8
1899,29,26.8,34,48.1,57.7,70,72.6,68.7,62,54.5,42.1,36.2,50.1
1900,30.1,29.3,34,48.5,55.2,68.6,73.9,71.1,64.9,56.6,44.7,33.5,50.9
1901,27.6,24.3,36.2,43.5,54.3,68.2,73.5,70.7,65.4,54.4,37.3,32.5,49
1902,26.9,28.9,43.3,48.4,57.8,64.3,67.9,67.6,62.6,53.6,46.2,28.6,49.7
1903,28.6,31.4,44.4,47.9,58.5,59.8,71.4,65,64.4,53.9,40,29,49.5
1904,21.5,22.6,34.5,44.7,60.9,64,71.4,68.7,62.5,50.5,38.2,25.8,47.1
1905,25.1,23.4,37.1,46.8,57.6,65.2,73.2,68.6,62,53.6,41.6,35.1,49.1
1906,36.4,29.7,32.3,47.2,58,66.4,70.1,72,65,52.5,41.7,29.1,50
1907,27,21.7,37.9,43.4,52.5,65.1,72.4,69.7,64.4,49.8,43.3,37.2,48.7
1908,32,26.7,38.6,46.8,59,69.9,74.1,69.4,65.8,55.4,43.6,33.3,51.2
1909,30.3,32.6,36.8,47.7,55.8,69.4,71.5,69.4,62.6,52.8,46.4,30.7,50.5
1910,32,29.5,42,51.6,57.6,65.2,74.9,68.8,62.8,56,41.2,27.5,50.8
1911,31.8,27,35.5,46.1,62.5,65.5,77.1,69,62.5,52.6,41.9,39.4,50.9
1912,21.4,27.7,36,47.4,58.6,68,73.2,68.9,63.7,57.5,45.7,38.5,50.6
1913,39.3,27.7,42.4,48,55.1,67.5,73.8,70.7,62,56.5,46.5,37.8,52.3
1914,28.7,24.3,36.7,45.3,60,67.3,68.6,70.4,64.6,57,42.7,30.4,49.7
1915,33.1,33.2,35.8,50.7,56.6,63.9,70.1,69.1,66.8,55.7,45.4,34.2,51.2
1916,33.1,25.5,30.6,45.6,58.6,62.7,72.6,71.7,65,55.5,42.6,32.6,49.7
1917,30.2,25.8,37.3,44,50.7,65.8,73.3,72.9,60.3,51.9,39.5,23.7,48
1918,21,27,36.7,47.8,63.3,63.9,71.1,70.4,61.1,56.1,45,34.7,49.8
1919,33.3,32.6,40.8,46.8,59.1,67.3,74,68.8,63.9,55.1,42.7,28.7,51.1
1920,21,27.6,39.3,45.1,54.6,65.8,72.4,72,65.3,59.8,41.7,35.6,50
1921,32.1,32.5,46.2,51.7,58,68.2,73.2,69.6,68.5,55.2,41.5,31.3,52.3
1922,27.2,32,39.8,48.7,61.4,68.7,72,70.4,65.2,55.1,43.8,30.9,51.3
1923,26.9,23.6,33.8,48.1,57.6,69.3,69.9,69.3,64.4,55.6,44.7,40.4,50.3
1924,31.9,26.8,37.5,47.3,56.2,66.7,73.8,71.9,62.2,54.6,45.4,31.1,50.4
1925,27.1,38.1,43.1,49.8,57.4,70.9,72.3,71.1,64.1,49.5,43.6,33.6,51.7
1926,31,27.9,34.3,44.8,56,64.3,70.5,70.4,62.4,53.4,44.2,28.6,49
1927,30.7,32.6,41.6,48.3,55.2,65.1,72.2,67.5,65,57.9,49.6,35.9,51.8
1928,32.9,29.6,37,46.8,55.3,65,73.2,73.6,62.4,56.6,44.8,38.8,51.3
1929,29,31.7,41.4,46.6,61,68.3,72.6,69.2,65.3,53.2,44.7,32.5,51.3
1930,31.8,34.1,38.1,47.5,59.7,72.4,72.8,70.5,69.4,53,45.1,33.2,52.3
1931,30.5,30.3,39.3,50.2,60.3,67.2,74,72.1,66.9,58.5,49.5,36.6,53
1932,38.8,30.7,35.6,47.5,60.3,66.5,72.8,74,65.1,57.1,42.8,38.1,52.4
1933,37.9,33.7,35.7,46.5,61.6,69.4,70.7,71.7,65.8,52.5,38.3,26.9,50.9
1934,29.6,17.5,35,48,60.6,66.9,73.1,67.3,64.5,49.5,45.6,28.5,48.8
1935,23.2,27.9,38.4,45.2,55.5,65.5,72.6,70.7,61.5,53.8,45.4,27.1,48.9
1936,28.2,22.8,41.8,45.3,60.6,66.6,71.1,69.7,62.6,54.5,39.5,34.9,49.8
1937,37.4,33.2,34.1,45.3,59.1,66.4,73.2,74.5,62.9,52.6,44,31.2,51.2
1938,28,30.6,39.1,48.7,55.8,67.3,71.8,73.6,62.2,56,46.4,34,51.1
1939,27.9,32.4,32.9,43.8,56.4,65.7,72.3,73.8,64.5,54.1,40.8,33.4,49.8
1940,23,29.6,33.1,43.6,56.3,65.1,71.5,68.5,63.3,50.6,42.9,34.3,48.5
1941,25.3,29.4,33.4,51.6,59.9,68.2,71.4,70.6,66,55.9,48,35.2,51.2
1942,28.5,27.2,40.8,49.7,60.7,67.4,71.1,70.7,64.5,55.8,43.5,28.6,50.7
1943,25.5,30.6,36,43.4,57.6,71.1,74.1,71,62.9,53.9,43.3,29.5,49.9
1944,30.9,29.6,34.1,44.7,63.2,67,73.8,74.7,65,53.7,43.2,30.8,50.9
1945,23.7,30.5,46.3,52.5,55.1,66.6,71.9,70.7,67.1,53.1,45.5,28.5,51
1946,28.3,27.6,47.2,46.1,58,67.5,70.9,67.8,65.9,58.4,47.9,34.8,51.7
1947,32.6,29.6,37.7,47.1,56.9,65.4,74.3,73.1,64.7,61.5,41.2,30.4,51.2
1948,23.3,26.9,38,48,55,63.6,74.5,73.7,65.7,54.3,49.6,36.3,50.7
1949,34.7,34.4,39.2,50.9,60.3,71.6,76.3,74.4,63.2,58.4,43.5,36.8,53.6
1950,36.2,28,33.7,46.7,55.8,69.1,73.5,70.8,61.5,56.3,47.8,35.5,51.2
