Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1893,16.7,M,31.2,42.2,54.3,63.4,68.5,67.9,57.1,52.4,39.4,28.8,47.4
1894,27.6,23.4,39.6,44.6,56.3,66.3,72.4,65.9,63.9,51.7,35.2,29.7,48.1
1895,25.5,21.1,31.3,44,58.4,66,66.7,69,64.1,46.6,43.1,32.8,47.4
1896,21.7,25.9,29,46.5,58.8,63.2,69.7,69,59.8,47.4,44.5,26.9,46.9
1897,25.4,27.6,34.2,46.5,55.6,60.1,69.2,66.8,60.5,52.2,39,30.5,47.3
1898,25.5,29.8,40.7,40.9,54,63.9,69.7,70.3,64.4,51.8,39.6,28.4,48.3
1899,26.3,22.6,31.5,45.9,56,67.8,70.2,67.5,60.2,51.5,39.5,32.7,47.6
1900,27.8,26.5,31,45.7,53.5,66,71.3,70.1,64.2,54.8,42.3,30.1,48.6
1901,24.2,20.4,33.4,42.1,53.3,66.7,72,69.4,63.7,M,M,29,47.4
1902,24,25.9,41.1,46.4,56.6,62.5,66,65.9,61.4,51.4,44,26.4,47.6
1903,26.2,28.9,43.1,46,58.1,58.7,69.2,62.7,62.5,51.5,36.7,24.7,47.4
1904,19,19.1,32.3,43,59.5,61.6,69,66.6,60.5,47.9,35.4,M,46.7
1905,22.1,19.9,34.2,45,55.8,63.1,70.5,66.5,60.3,51.4,38.5,31.7,46.6
1906,32.1,27.1,29.9,45.6,56.4,64.2,68.3,70.4,63.3,50.9,38.6,25.7,47.7
1907,24.2,18.4,34.9,40.1,49.5,62.3,69.7,67.3,61.9,46.4,39.6,32.9,45.6
1908,27.5,24,35.9,45.3,57.5,67.3,72.3,66.5,63.6,55.3,39.5,29.5,48.7
1909,27.2,29.4,33.1,45,54,66.1,68.7,67.3,60.1,50,43.1,25,47.4
1910,28.5,25.7,39.2,49.8,54.8,62.8,72.9,67.6,61.2,53,37.3,23.7,48
1911,28.5,23.5,32.2,43.3,60.6,63.3,74,66.6,60.2,49.6,38.7,35.6,48
1912,17.5,23.1,32.3,45,56.3,65.4,70.4,65.5,60.9,54.4,42.1,34.9,47.3
1913,36,24.5,39.9,45.1,53,64,70.9,68.5,59.3,53.6,42.9,34.1,49.3
1914,25.4,20.9,33.3,42.3,58.5,63.8,65,66.9,62.1,54.1,39.2,26.8,46.5
1915,29,29.1,30.8,48.4,54.5,62.6,68.3,66.8,64.5,52.2,40.9,28.7,48
1916,28,21.5,25.5,41.5,55,58.8,69.2,69.5,63,53.5,40.2,29,46.2
1917,26.4,22.9,33.8,40.8,47.2,63,70.2,71,58,48.6,36.5,20.6,44.9
1918,17.6,24.3,34.1,46,60.2,61.2,68.4,68.4,57.8,52.7,40.3,29.2,46.7
1919,28.4,27,36.2,43.8,57.7,64.7,70.4,64.5,59.1,51,38.7,23.7,47.1
1920,16,21.5,35.3,42,53.8,61.2,68.1,69,61.3,54.1,36.4,30.1,45.7
1921,26,26.6,42.2,48.6,55,66.3,71.5,66.5,65.7,51,37.2,27.4,48.7
1922,22.5,27,35.4,46.2,59.8,66.8,70.2,69.1,M,52.3,39.4,26.8,46.9
1923,21.2,17.8,29.3,44.2,55.7,67.2,68,67.9,63.6,51.7,40.2,36.1,46.9
1924,27.2,21.8,32.2,43.7,53.7,64.1,71.6,70.1,61.3,52.1,42,25.8,47.1
1925,22.5,33.8,38.8,46.7,54.7,70.1,70.5,70.2,62.9,47.4,41.3,30.4,49.1
1926,28.1,24.6,30.3,41.5,53.6,61.2,69.5,68.4,60.9,51.1,41.8,26.2,46.4
1927,26.9,29.7,38.7,45.9,53.3,62.3,69.6,65.2,62.3,55,45.6,32.4,48.9
1928,28.4,26.1,33.3,43.7,53.4,62.5,70.5,71.8,59.3,53.6,40.8,34.6,48.2
1929,25.1,27.6,37.9,44.4,57.5,66.1,70.8,67.8,63.9,50.4,40.6,28.1,48.4
1930,27.3,31.3,35.7,45.2,57.5,69.5,70.5,67.6,66.5,48.7,40,29.2,49.1
1931,26,26.1,34.3,46.4,56.9,63.8,72.2,69.4,64.5,56.1,46.5,32.8,49.6
1932,35.4,26.9,30.8,44.4,56.8,63.3,69.3,70.5,61.5,53.2,39.2,34.3,48.8
1933,34.2,29.8,31.9,43.4,58.7,66.4,68.2,68.2,62.4,50.5,35.4,24.1,47.8
1934,26.7,14.1,31.9,46,58.6,65.3,71.6,65.6,63.9,47.5,43,27,46.8
1935,21.3,25.3,36.7,43.8,54,63.7,70.8,69,59.7,51.6,43,23.9,46.9
1936,24.5,19.7,41.1,42.4,58.2,64.1,68.1,68.3,60.9,51.2,36.7,32.6,47.3
1937,35,30.9,31.1,43,57.7,65,71.1,72.5,60.4,49.6,41.1,28.2,48.8
1938,25.4,28.8,37.5,47.6,54.3,64.7,69.9,71.5,60.5,54.6,43.8,31.4,49.2
1939,25.9,30.1,31.2,41.6,56,64.8,70.2,72.8,61.5,51.8,37.8,31,47.9
1940,19.3,26.5,29.5,41.2,54.6,63.1,69.6,66.5,61,47.5,39.8,31.4,45.8
1941,22.6,26.6,29.9,50,57.7,65.8,69.7,68.2,64,53.1,45.6,32.9,48.8
1942,25.4,24.4,38.1,48,60.2,65.4,69.1,68.1,62.9,53.6,41.1,25.9,48.5
1943,23.2,28.6,33.8,41.6,56.7,68.7,72.2,69.2,61.8,52.4,40.8,26.6,48
1944,28.7,26.8,32.4,43.1,62.8,65.5,72.4,72.5,63.6,51.6,40.8,27.5,49
1945,21.2,27.5,44.8,51.4,53.8,65.3,70.2,68.5,65.1,51,43.3,25.3,48.9
1946,26,24.9,45.5,44.3,56.2,65.3,69.8,65.7,64.3,56.7,45.2,31.9,49.7
1947,30.1,26.5,34.4,45.3,55.5,63,72.2,70.7,62.2,59.6,38.2,27.5,48.8
1948,20.6,24,35.9,45.8,53.6,61.9,71.1,71.5,64.2,51.5,47.3,33,48.4
1949,32.5,31.8,36.9,48.8,58,69,74.8,72.8,61.2,56.2,40.6,34,51.4
1950,33.7,25.4,30.7,44.6,54.3,66.3,70.8,68.3,58.9,54,45.3,32.3,48.7
1951,31.1,32,36.5,48.5,57.4,63.9,71.6,68.5,62.9,52.8,39.3,32.5,49.7
1952,30.2,29.8,34.3,48.5,55.4,67.8,75.7,70.3,64.3,51,42.9,32.4,50.2
1953,32.1,32.5,37.3,46.7,57.3,67.6,70.6,69.4,63.9,54.3,45.9,36.8,51.2
1954,23.4,34.6,36.2,47.8,54,64.3,69.3,66.6,59.9,56.1,41.6,31.3,48.8
1955,25,29.6,35,46.9,60.2,63.9,74.3,72.1,61.4,53,38.7,23.4,48.6
1956,27.2,29.4,30.5,42.7,53.2,66.6,68.4,69.2,58.3,53.7,43.6,33.4,48
1957,23,31.8,36,48,57.7,68.5,72,67.7,64.9,M,44,37,50.1
1958,28.5,22.2,35.4,46.9,53.6,61.8,70.6,69,61.8,50.2,43.1,22.6,47.1
1959,26.1,23.6,34.6,46.9,60.2,61.7,70.9,71.5,65.7,51.5,40.9,32.4,48.8
1960,27.2,32.2,29,46.4,57.9,66.4,69.5,68.9,61,51.4,45.3,25.9,48.4
1961,21.7,29.6,34.9,42.8,54.5,66.8,70.2,69.6,66.8,54.7,41.8,29.6,48.6
1962,25.7,24.2,35.7,47.5,55.8,65.5,67.4,67.7,59.8,51.3,39,26.7,47.2
1963,26.1,22.6,36,46.3,56.9,66.2,71.8,67.4,58,57.6,45,22.7,48.1
1964,29.4,26.2,36.5,44.4,59.8,65.3,70.1,65.4,60.7,51.6,42.9,30.3,48.6
1965,22.8,26.2,33.4,43.3,59.5,65.4,70.7,70.1,62,51.2,38.9,32.5,48
1966,24.8,28.2,37.1,43,54.5,66.6,72.2,69.7,60.5,51.9,44.5,30.9,48.7
1967,32.2,23.4,30.9,43.3,50.5,66.2,71.3,69.1,61.2,52.7,37.2,32,47.5
1968,22.6,22.9,37,48.8,54.6,62.9,72.5,68.8,63.9,54.9,40.1,27,48
1969,26.5,26.7,32.7,49,56.7,66.6,68.8,72.2,61.7,51.6,41.6,28.9,48.6
1970,17.8,28.6,33.4,47.1,58,64.7,72.1,71.1,62.6,53.8,43.3,25.5,48.2
1971,20.6,28.3,34.3,43.2,55.1,66.8,71.7,70.9,65.7,57.3,38.8,31.7,48.7
1972,28.5,25.3,32.4,41.9,55.7,62.9,70.5,68,62.1,47.9,38,31.3,47
1973,29.2,26.8,41.3,48.4,55.3,67.8,71.3,72.5,61.9,52.8,41.6,35.2,50.3
1974,28.5,26.5,36.4,48.7,53.4,64.1,70.3,71.2,61.5,47.6,41.5,33.8,48.6
1975,30.9,28.5,34.1,42.6,60,64.6,73,69.3,59.9,54.4,48,30.5,49.7
1976,22,34,37.5,51.4,57,69.3,70,68.5,61.3,48,37.2,24.2,48.4
