Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1904,M,M,M,M,M,M,M,M,M,M,37.1,24.8,31
1905,25.3,22.6,36.5,46.8,57,64.5,72.2,68,61.7,52.8,41,34.6,48.6
1906,34.3,29.6,32.4,47.4,57.6,66.3,70.5,72.3,64.6,53.1,41.8,28.9,49.9
1907,27.8,21.4,38.2,42.7,51.8,63.1,71.6,68.5,64,49,42.3,35.4,48
1908,29.9,26.1,37.8,46.5,59.2,68.2,73.1,68.4,63.8,55.3,42.1,32.8,50.3
1909,29.6,32.8,35.4,46.2,56.2,67.4,70,68.7,62,51.2,45.2,29.5,49.5
1910,31.5,28.6,41.1,50.9,56.4,65.2,73.5,67.8,62.3,54.3,39.7,26.1,49.8
1911,31.6,26.2,34.2,44.5,60.8,66,75.1,69.5,62.6,52,40.6,37.8,50.1
1912,20.7,26.4,34.5,46.5,57.5,66.2,72.2,67.7,62.5,55.6,43.9,37.4,49.3
1913,38,27.1,40.7,47.7,55.1,65.9,73.3,69.8,60.5,56,45.8,37.2,51.4
1914,28.7,23.4,35.7,44.5,59.7,66,67.9,70.1,63.5,55.6,40.8,29.2,48.8
1915,31.8,31.9,34.3,50.4,55.9,64.1,70.1,68.6,66.3,53.8,42.9,31.7,50.2
1916,32.1,24.6,29.3,44.6,57,62.7,71.4,70.9,63.3,53.9,41.1,31.3,48.5
1917,29.6,24.9,36,44.6,50.4,65.8,73.6,72.7,59.8,50,37.7,23.3,47.4
1918,20.3,25.9,36.7,47.2,62,64,71.4,71.8,60.6,54.4,43.3,34,49.3
1919,32.8,31.6,40.1,46.3,59.3,66.8,73.3,67.9,63,54.8,42.1,27.9,50.5
1920,20.7,26.3,38.3,45,54.5,64.6,71.4,72.3,65.3,58.5,40.5,34.1,49.3
1921,31.2,31.5,44.7,51.3,57.5,67.8,73.3,68.6,68,54,41,30.9,51.7
1922,26.6,31.4,38.9,48.3,61.6,68.6,70.9,69.6,64.8,53.9,42.2,29.9,50.6
1923,25.8,22.7,33.1,47.1,57.5,68.4,69.1,68.1,63.7,53.4,42.5,38.9,49.2
1924,30.7,25.5,36.2,46.5,55.4,65.1,72.2,71.2,60.9,53.2,43.2,30.5,49.2
1925,26.4,35.9,41.4,48.8,56.2,70.3,71.3,70.6,63,47.3,41.7,32.5,50.4
1926,30.2,27.3,33.1,43.9,56.1,63,70.4,70.3,61.9,51.6,42.9,27.7,48.2
1927,29.5,32.4,40.5,46.8,55.6,64.4,72,66.6,64.3,56.9,48,35,51
1928,32.4,29.3,36.2,45.4,55.8,64.2,73.5,73.2,61.2,55.2,44.2,37.2,50.7
1929,28.4,31.3,41.6,47.1,59.5,68.1,72.3,69,64.6,51.9,43.5,32,50.8
1930,30.9,33.7,37.7,46.7,60.2,71.4,73,70.5,68.3,51.9,43.6,32.7,51.7
1931,29.7,30.4,38.7,49.7,59.9,67.3,73.7,72.2,67.3,57.4,48.1,37.2,52.6
1932,38.6,30.8,35.1,47.1,59.7,66.3,71.5,72.9,64.2,55.5,41.5,37.1,51.7
1933,37.3,32.5,35.7,46.4,60.7,68.2,70.9,71.3,65,52.6,38.7,28.1,50.6
1934,30.6,17.4,35.9,49,60.9,68.7,74.9,68,66.4,50.3,45.5,29.8,49.8
1935,24.2,28.8,40.4,46.7,56.9,66.3,74.2,71.3,62.4,53.5,45.8,27.9,49.9
1936,28.3,23.4,43.8,45.4,60,67,71.6,71.6,63.5,54,39.4,35.6,50.3
1937,37.6,34.1,34.6,46.5,59.9,67.9,73.5,75.1,62.9,51.7,43.7,31.9,51.6
1938,28.4,31.9,40.1,49.7,57,67,73.2,74.6,62.6,56.6,46,34.2,51.8
1939,28.2,33.2,34.6,45.4,58.8,66.6,72.8,75,64.2,53.7,40.2,33.9,50.6
1940,22.7,30.1,33.3,44.5,56.6,66,73.4,69.2,63.9,50.4,42.9,35.4,49
1941,26.5,30.2,34,52.6,60.7,68.8,72.7,71.2,66.1,56.4,46.5,34.4,51.7
1942,29,28.1,41.9,50.5,61.9,68.7,72.9,71.5,65.7,55.8,43.7,28.7,51.5
1943,26.9,31.4,37.2,44,59.4,72.3,74.7,72.3,63.3,54.1,43.7,30.4,50.8
1944,31.7,30.4,35.6,46.1,64.3,68.6,76,75.5,66.8,54.6,43.6,31.2,52
1945,24.5,31.4,47.9,54.5,57.2,68.7,74.6,71.9,68.3,53.8,45.7,28.9,52.3
1946,30,28.9,48.4,47.6,59.1,68.7,72.7,68.6,66.6,58.5,48.2,35.6,52.7
1947,33.2,30,38.4,48,58.1,66,75.5,74,65.4,61.4,41.7,31.4,51.9
1948,22.5,25.5,37.1,46.8,55.3,63.5,72.6,72,64.2,52.3,48.3,34.7,49.6
1949,34.8,34.2,38.5,49.8,58.1,69.5,75.2,72.2,61.9,57.1,41.9,35,52.4
1950,36.5,27.4,32.9,45.3,54.7,66.2,71.5,69.3,60.3,55.2,46.1,33.8,49.9
