Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1892,26,23.4,M,M,55.9,70.4,72.6,70,62.1,51.1,39.4,27.4,49.8
1893,M,M,32.4,43,55.5,65.2,69.2,68.7,56.9,52.6,38.3,M,53.5
1894,27.1,23.2,40.9,46.4,57.5,67.5,72.6,67.1,63.5,51.9,M,M,51.8
1895,24.5,21.6,32.9,44.9,59.2,68.2,68,69.4,63.7,46.3,42.8,32.7,47.9
1896,22.8,27.1,M,49.3,61.5,64.6,71.1,69.8,59.6,48.5,45.1,27.3,49.7
1897,26.8,28.4,35.4,47.9,57.8,62.5,71.8,67.7,61,51.1,38.8,32.1,48.4
1898,26,29.9,42.1,42.7,M,M,M,M,M,M,M,27.7,33.7
1899,25.9,24,30.5,47.7,59.2,69.7,72.6,M,60.2,52.9,38.9,32.6,46.7
1900,M,24.8,31.2,46.6,54.7,67,71.9,69.7,64.1,M,M,30.1,51.1
1901,25.5,20.6,34,45.5,56.3,69.4,74,71.4,65,52.6,34.8,29.5,48.2
1902,24.8,M,41.8,47.5,57.6,64.1,68.1,M,61.8,51.1,M,25.5,49.1
1903,25.7,28.7,42.9,45.8,M,60.7,70.6,M,64.1,M,37.2,24.9,44.5
1904,18.5,19.6,32.9,43.8,62,65.3,71.4,67.7,61.4,48.7,35.5,22.8,45.8
1905,21.8,19.9,35.2,46,57.5,65.6,72.8,67.5,61.1,52.2,38.4,32.2,47.5
1906,32.4,27.3,29.5,47.1,58.7,67.1,71.6,72.9,64.9,51.6,39.2,25.7,49
1907,24.3,19.1,36.9,42.1,52.5,64.8,71.9,68.3,62.6,47.5,40.4,33.3,47
1908,27.3,23.1,35.8,45.5,59.5,69.1,73.3,68.3,65.1,56.2,39.7,29.7,49.4
1909,26.7,29.4,33.4,44.7,55.2,67.4,70,68.2,61.7,50.4,43.4,26.4,48.1
1910,28.8,26.7,40.5,51.6,56.4,64,73.7,68.5,62.4,52.3,38.2,24.2,48.9
1911,29.1,24,32.3,44.8,64.3,66,75.9,69.9,60.5,49.6,38.1,34.4,49.1
1912,18.3,22.6,33.2,47.3,59.9,69.1,73.3,67,62.7,53.6,42.1,34,48.6
1913,34.6,25.3,39.8,47.6,57.1,69.1,72.7,71.7,59.8,54.5,42.2,34.2,50.7
1914,26.1,21.9,33.9,42.5,61.2,68.9,70.3,71.5,63,54.8,39.9,26.5,48.4
1915,28.2,30.4,31.6,51.2,57,65.1,71.3,68.2,66.7,54.6,43.1,29.7,49.8
1916,29.5,23.3,28.1,44.7,58.9,63.9,73.1,72,64,53.9,40.2,29,48.4
1917,26.3,23,34.5,43.2,50.3,67.4,73.5,71.7,59.1,49.4,35.3,22,46.3
1918,17.7,M,36.1,49.4,64.8,64.8,70.7,71.2,60.5,55.8,43.2,31.2,51.4
1919,28.9,28.8,37.9,46.9,59.1,69.5,72.2,67.3,61.8,53.9,40.6,25.5,49.4
1920,18.3,24.1,35.3,43,56.5,66.2,71.1,72.5,63.6,57,38.5,32.3,48.2
1921,27.6,29.5,43,50.1,58.4,68.8,73.4,66.8,66.5,52,37.4,27.4,50.1
1922,22.9,28.2,35.8,46.6,61.9,67.7,70.7,68,62.1,51.9,40.3,26.8,48.6
1923,22.4,19.3,30.2,46.4,57.7,68.8,68.2,67.3,63.6,51.8,41.5,37,47.9
1924,26.3,21.7,33.7,43.4,53.4,64.9,71.1,69.9,60.5,52.2,39.4,25.9,46.9
1925,20.8,33.4,38.5,46.4,53.3,68.2,68.1,66.9,61,43.4,38.8,28.3,47.3
1926,25.9,23.3,29.2,40.7,53.9,60.4,69,67.6,58.7,48.2,39.1,22.9,44.9
1927,24.7,28.4,37.8,44.4,52.3,61.6,69.4,63.7,61.1,53.6,43.2,31.1,47.6
1928,27.3,24.5,32.4,42.6,53.6,62.2,70.3,70.3,57.6,51.3,40.6,32.4,47.1
1929,22.9,26.1,37.4,44.1,56.4,65.8,70.1,66.4,62.4,48.9,40,27.4,47.3
1930,26.7,29.9,34.3,44.2,58.4,69.4,69.7,67.4,65.1,49,40.2,28.1,48.5
1931,24.9,26.3,35.5,46.8,57.8,65.9,71.7,68.7,64.7,54.4,44.9,32.4,49.5
1932,33.8,26.5,31.3,44.4,57.3,64.6,68,69.7,62.1,53.1,38.7,32.1,48.5
1933,32.6,29.7,31.8,43.6,59.2,66.9,69.2,68.5,62.7,50,34.9,24,47.8
1934,27,14.4,32.2,46.7,59.3,66.5,71.7,65,63.6,47.7,42.6,26.4,46.9
1935,20.9,25.1,36.9,44,53.6,64.6,71.7,68.3,59.6,50.7,42.9,24.6,46.9
1936,24,19.2,40.5,43,59.2,65.4,69.3,69.4,61.5,50.9,35.6,32.4,47.5
1937,32.8,30.8,31,44.1,58.3,66.3,70.9,72.7,59.9,49.1,40.4,27.5,48.7
1938,23.5,28.9,37.3,48.2,54.6,66.3,70.8,71.7,59.5,54.8,42.7,29.3,49
1939,24.1,27.3,30.5,41.4,57,65.4,70.1,72.1,61.1,50.4,36.7,29.3,47.1
1940,19.3,26.6,29.7,41.4,55.1,64,70.4,66.1,60.3,46.6,39.5,30.4,45.8
1941,22.3,25.9,29.8,51.3,58.6,66.6,70.6,66.8,62.6,52.3,43.2,31.6,48.5
1942,23.7,23.3,37.7,49.6,60.6,66.5,69.4,68.1,62.6,52.7,39.7,24.2,48.2
1943,22.7,26.9,31.9,40.8,57.1,69.1,71.2,68.2,60.1,51,38.8,24.9,46.9
1944,26.8,25.7,31.6,42.2,62.5,65.7,71.8,72,62.7,50.8,39.6,26.1,48.1
1945,20.2,26.3,44.9,50.7,53.2,65.4,70.1,67.7,63.5,49,41.5,23.5,48
1946,24.3,23,44.4,43.9,55.2,64.4,69,64.4,63.2,54.6,43.8,29.9,48.3
1947,27.6,26,33.6,44.7,56.2,62.9,71.8,70.8,61.3,57,36.9,26,47.9
